,Year,Course_ID,Course_Duration,Course_Resources,Course_Ress_Digit,Course_Ress_inClass,Number_Video,Number_QCM,Number_Test,Number_Lecture,Number_Exercise,Number_Exam
5334,2018,255,34,11,3,8,2,1,0,5,3,0
6350,2019,255,34,11,3,8,2,1,0,5,3,0
7366,2020,255,34,11,4,7,2,2,0,5,2,0
255,2013,256,16,11,1,10,0,1,0,7,2,1
1271,2014,256,16,11,1,10,0,1,0,7,2,1
2287,2015,256,16,11,1,10,0,1,0,7,2,1
3303,2016,256,16,11,1,10,0,1,0,7,2,1
4319,2017,256,16,11,1,10,0,1,0,7,2,1
5335,2018,256,16,11,1,10,0,1,0,7,2,1
6351,2019,256,16,11,2,9,1,1,0,6,2,1
7367,2020,256,16,11,2,9,1,1,0,6,2,1
256,2013,257,8,2,1,1,0,1,0,1,0,0
1272,2014,257,8,2,1,1,0,1,0,1,0,0
2288,2015,257,8,2,1,1,0,1,0,1,0,0
3304,2016,257,8,2,1,1,0,1,0,1,0,0
4320,2017,257,8,2,1,1,0,1,0,1,0,0
5336,2018,257,8,2,1,1,0,1,0,1,0,0
6352,2019,257,8,2,1,1,0,1,0,1,0,0
7368,2020,257,8,2,1,1,0,1,0,1,0,0
257,2013,258,23,7,1,6,1,0,0,4,2,0
1273,2014,258,23,7,1,6,1,0,0,4,2,0
2289,2015,258,23,7,1,6,1,0,0,4,2,0
3305,2016,258,23,7,2,5,1,1,0,4,1,0
4321,2017,258,23,7,2,5,1,1,0,4,1,0
5337,2018,258,23,7,2,5,1,1,0,4,1,0
6353,2019,258,23,7,2,5,1,1,0,4,1,0
7369,2020,258,23,7,3,4,2,1,0,3,1,0
258,2013,259,37,12,7,5,5,1,1,2,2,1
1274,2014,259,37,12,8,4,5,2,1,2,1,1
2290,2015,259,37,12,10,2,6,3,1,1,0,1
3306,2016,259,37,12,11,1,7,3,1,0,0,1
4322,2017,259,37,12,12,0,7,3,2,0,0,0
5338,2018,259,37,12,12,0,7,3,2,0,0,0
6354,2019,259,37,12,12,0,7,3,2,0,0,0
7370,2020,259,37,12,12,0,7,3,2,0,0,0
259,2013,260,7,7,1,6,0,1,0,4,2,0
1275,2014,260,7,7,1,6,0,1,0,4,2,0
2291,2015,260,7,7,2,5,0,2,0,4,1,0
3307,2016,260,7,7,2,5,0,2,0,4,1,0
4323,2017,260,7,7,2,5,0,2,0,4,1,0
5339,2018,260,7,7,3,4,1,2,0,3,1,0
6355,2019,260,7,7,3,4,1,2,0,3,1,0
7371,2020,260,7,7,4,3,2,2,0,2,1,0
260,2013,261,40,26,3,23,1,1,1,14,7,2
1276,2014,261,40,26,3,23,1,1,1,14,7,2
2292,2015,261,40,26,3,23,1,1,1,14,7,2
3308,2016,261,40,26,3,23,1,1,1,14,7,2
4324,2017,261,40,26,3,23,1,1,1,14,7,2
5340,2018,261,40,26,4,22,2,1,1,13,7,2
6356,2019,261,40,26,4,22,2,1,1,13,7,2
7372,2020,261,40,26,4,22,2,1,1,13,7,2
261,2013,262,40,14,2,12,2,0,0,7,4,1
1277,2014,262,40,14,2,12,2,0,0,7,4,1
2293,2015,262,40,14,2,12,2,0,0,7,4,1
3309,2016,262,40,14,3,11,2,1,0,7,3,1
4325,2017,262,40,14,3,11,2,1,0,7,3,1
5341,2018,262,40,14,3,11,2,1,0,7,3,1
6357,2019,262,40,14,4,10,3,1,0,6,3,1
7373,2020,262,40,14,4,10,3,1,0,6,3,1
262,2013,263,5,4,1,3,1,0,0,2,1,0
1278,2014,263,5,4,1,3,1,0,0,2,1,0
2294,2015,263,5,4,1,3,1,0,0,2,1,0
3310,2016,263,5,4,1,3,1,0,0,2,1,0
4326,2017,263,5,4,1,3,1,0,0,2,1,0
5342,2018,263,5,4,1,3,1,0,0,2,1,0
6358,2019,263,5,4,1,3,1,0,0,2,1,0
7374,2020,263,5,4,1,3,1,0,0,2,1,0
263,2013,264,15,13,1,12,0,1,0,8,4,0
1279,2014,264,15,13,2,11,1,1,0,7,4,0
2295,2015,264,15,13,2,11,1,1,0,7,4,0
3311,2016,264,15,13,2,11,1,1,0,7,4,0
4327,2017,264,15,13,3,10,1,2,0,7,3,0
5343,2018,264,15,13,3,10,1,2,0,7,3,0
6359,2019,264,15,13,3,10,1,2,0,7,3,0
7375,2020,264,15,13,4,9,1,3,0,7,2,0
264,2013,265,40,11,1,10,1,0,0,6,3,1
1280,2014,265,40,11,1,10,1,0,0,6,3,1
2296,2015,265,40,11,1,10,1,0,0,6,3,1
3312,2016,265,40,11,1,10,1,0,0,6,3,1
4328,2017,265,40,11,1,10,1,0,0,6,3,1
5344,2018,265,40,11,2,9,1,1,0,6,2,1
6360,2019,265,40,11,2,9,1,1,0,6,2,1
7376,2020,265,40,11,2,9,1,1,0,6,2,1
265,2013,266,34,34,5,29,2,2,1,19,9,1
1281,2014,266,34,34,5,29,2,2,1,19,9,1
2297,2015,266,34,34,6,28,2,3,1,19,8,1
3313,2016,266,34,34,7,27,2,4,1,19,7,1
4329,2017,266,34,34,8,26,3,4,1,18,7,1
5345,2018,266,34,34,9,25,3,5,1,18,6,1
6361,2019,266,34,34,11,23,3,7,1,18,4,1
7377,2020,266,34,34,14,20,6,7,1,15,4,1
266,2013,267,6,6,1,5,1,0,0,4,1,0
1282,2014,267,6,6,1,5,1,0,0,4,1,0
2298,2015,267,6,6,1,5,1,0,0,4,1,0
3314,2016,267,6,6,1,5,1,0,0,4,1,0
4330,2017,267,6,6,1,5,1,0,0,4,1,0
5346,2018,267,6,6,1,5,1,0,0,4,1,0
6362,2019,267,6,6,1,5,1,0,0,4,1,0
7378,2020,267,6,6,1,5,1,0,0,4,1,0
267,2013,268,18,17,4,13,1,2,1,8,4,1
1283,2014,268,18,17,4,13,1,2,1,8,4,1
2299,2015,268,18,17,5,12,1,3,1,8,3,1
3315,2016,268,18,17,6,11,1,4,1,8,2,1
4331,2017,268,18,17,7,10,1,5,1,8,1,1
5347,2018,268,18,17,7,10,1,5,1,8,1,1
6363,2019,268,18,17,8,9,1,6,1,8,0,1
7379,2020,268,18,17,10,7,3,6,1,6,0,1
268,2013,269,11,11,2,9,1,1,0,6,2,1
1284,2014,269,11,11,2,9,1,1,0,6,2,1
2300,2015,269,11,11,3,8,1,2,0,6,1,1
3316,2016,269,11,11,3,8,1,2,0,6,1,1
4332,2017,269,11,11,3,8,1,2,0,6,1,1
5348,2018,269,11,11,4,7,2,2,0,5,1,1
6364,2019,269,11,11,5,6,3,2,0,4,1,1
7380,2020,269,11,11,6,5,3,3,0,4,0,1
269,2013,270,29,12,2,10,1,1,0,7,2,1
1285,2014,270,29,12,2,10,1,1,0,7,2,1
2301,2015,270,29,12,2,10,1,1,0,7,2,1
3317,2016,270,29,12,3,9,1,2,0,7,1,1
4333,2017,270,29,12,3,9,1,2,0,7,1,1
5349,2018,270,29,12,3,9,1,2,0,7,1,1
6365,2019,270,29,12,4,8,2,2,0,6,1,1
7381,2020,270,29,12,5,7,3,2,0,5,1,1
270,2013,271,54,31,1,30,0,1,0,19,9,2
1286,2014,271,54,31,1,30,0,1,0,19,9,2
2302,2015,271,54,31,1,30,0,1,0,19,9,2
3318,2016,271,54,31,2,29,1,1,0,18,9,2
4334,2017,271,54,31,2,29,1,1,0,18,9,2
5350,2018,271,54,31,2,29,1,1,0,18,9,2
6366,2019,271,54,31,2,29,1,1,0,18,9,2
7382,2020,271,54,31,2,29,1,1,0,18,9,2
271,2013,272,14,14,3,11,3,0,0,8,2,1
1287,2014,272,14,14,3,11,3,0,0,8,2,1
2303,2015,272,14,14,3,11,3,0,0,8,2,1
3319,2016,272,14,14,3,11,3,0,0,8,2,1
4335,2017,272,14,14,4,10,4,0,0,7,2,1
5351,2018,272,14,14,5,9,4,0,1,7,2,0
6367,2019,272,14,14,6,8,4,1,1,7,1,0
7383,2020,272,14,14,8,6,5,2,1,6,0,0
272,2013,273,30,20,4,16,2,1,1,10,5,1
1288,2014,273,30,20,4,16,2,1,1,10,5,1
2304,2015,273,30,20,5,15,3,1,1,9,5,1
3320,2016,273,30,20,5,15,3,1,1,9,5,1
4336,2017,273,30,20,6,14,4,1,1,8,5,1
5352,2018,273,30,20,7,13,4,2,1,8,4,1
6368,2019,273,30,20,7,13,4,2,1,8,4,1
7384,2020,273,30,20,7,13,4,2,1,8,4,1
273,2013,274,8,5,1,4,1,0,0,2,2,0
1289,2014,274,8,5,1,4,1,0,0,2,2,0
2305,2015,274,8,5,1,4,1,0,0,2,2,0
3321,2016,274,8,5,1,4,1,0,0,2,2,0
4337,2017,274,8,5,1,4,1,0,0,2,2,0
5353,2018,274,8,5,1,4,1,0,0,2,2,0
6369,2019,274,8,5,1,4,1,0,0,2,2,0
7385,2020,274,8,5,1,4,1,0,0,2,2,0
274,2013,275,26,15,3,12,3,0,0,8,3,1
1290,2014,275,26,15,3,12,3,0,0,8,3,1
2306,2015,275,26,15,4,11,3,1,0,8,2,1
3322,2016,275,26,15,5,10,4,1,0,7,2,1
4338,2017,275,26,15,5,10,4,1,0,7,2,1
5354,2018,275,26,15,6,9,4,2,0,7,1,1
6370,2019,275,26,15,8,7,6,2,0,5,1,1
7386,2020,275,26,15,10,5,7,3,0,4,0,1
275,2013,276,24,18,1,17,1,0,0,11,6,0
1291,2014,276,24,18,1,17,1,0,0,11,6,0
2307,2015,276,24,18,1,17,1,0,0,11,6,0
3323,2016,276,24,18,1,17,1,0,0,11,6,0
4339,2017,276,24,18,1,17,1,0,0,11,6,0
5355,2018,276,24,18,1,17,1,0,0,11,6,0
6371,2019,276,24,18,1,17,1,0,0,11,6,0
7387,2020,276,24,18,1,17,1,0,0,11,6,0
276,2013,277,8,3,1,2,1,0,0,2,0,0
1292,2014,277,8,3,1,2,1,0,0,2,0,0
2308,2015,277,8,3,1,2,1,0,0,2,0,0
3324,2016,277,8,3,1,2,1,0,0,2,0,0
4340,2017,277,8,3,1,2,1,0,0,2,0,0
5356,2018,277,8,3,1,2,1,0,0,2,0,0
6372,2019,277,8,3,1,2,1,0,0,2,0,0
7388,2020,277,8,3,1,2,1,0,0,2,0,0
277,2013,278,33,31,2,29,1,1,0,19,8,2
1293,2014,278,33,31,2,29,1,1,0,19,8,2
2309,2015,278,33,31,2,29,1,1,0,19,8,2
3325,2016,278,33,31,3,28,2,1,0,18,8,2
4341,2017,278,33,31,3,28,2,1,0,18,8,2
5357,2018,278,33,31,5,26,4,1,0,16,8,2
6373,2019,278,33,31,5,26,4,1,0,16,8,2
7389,2020,278,33,31,5,26,4,1,0,16,8,2
278,2013,279,19,7,1,6,0,1,0,4,1,1
1294,2014,279,19,7,1,6,0,1,0,4,1,1
2310,2015,279,19,7,2,5,1,1,0,3,1,1
3326,2016,279,19,7,2,5,1,1,0,3,1,1
4342,2017,279,19,7,2,5,1,1,0,3,1,1
5358,2018,279,19,7,3,4,2,1,0,2,1,1
6374,2019,279,19,7,3,4,2,1,0,2,1,1
7390,2020,279,19,7,4,3,2,2,0,2,0,1
279,2013,280,40,28,2,26,2,0,0,16,8,2
1295,2014,280,40,28,2,26,2,0,0,16,8,2
2311,2015,280,40,28,2,26,2,0,0,16,8,2
3327,2016,280,40,28,2,26,2,0,0,16,8,2
4343,2017,280,40,28,2,26,2,0,0,16,8,2
5359,2018,280,40,28,2,26,2,0,0,16,8,2
6375,2019,280,40,28,3,25,3,0,0,15,8,2
7391,2020,280,40,28,3,25,3,0,0,15,8,2
280,2013,281,20,17,3,14,3,0,0,10,4,0
1296,2014,281,20,17,3,14,3,0,0,10,4,0
2312,2015,281,20,17,3,14,3,0,0,10,4,0
3328,2016,281,20,17,4,13,4,0,0,9,4,0
4344,2017,281,20,17,4,13,4,0,0,9,4,0
5360,2018,281,20,17,5,12,4,1,0,9,3,0
6376,2019,281,20,17,5,12,4,1,0,9,3,0
7392,2020,281,20,17,5,12,4,1,0,9,3,0
281,2013,282,60,38,3,35,3,0,0,23,11,1
1297,2014,282,60,38,3,35,3,0,0,23,11,1
2313,2015,282,60,38,3,35,3,0,0,23,11,1
3329,2016,282,60,38,4,34,4,0,0,22,11,1
4345,2017,282,60,38,5,33,4,1,0,22,10,1
5361,2018,282,60,38,5,33,4,1,0,22,10,1
6377,2019,282,60,38,6,32,4,2,0,22,9,1
7393,2020,282,60,38,6,32,4,2,0,22,9,1
282,2013,283,6,5,1,4,1,0,0,2,1,1
1298,2014,283,6,5,1,4,1,0,0,2,1,1
2314,2015,283,6,5,1,4,1,0,0,2,1,1
3330,2016,283,6,5,2,3,1,1,0,2,0,1
4346,2017,283,6,5,2,3,1,1,0,2,0,1
5362,2018,283,6,5,2,3,1,1,0,2,0,1
6378,2019,283,6,5,2,3,1,1,0,2,0,1
7394,2020,283,6,5,2,3,1,1,0,2,0,1
283,2013,284,7,7,1,6,1,0,0,4,1,1
1299,2014,284,7,7,1,6,1,0,0,4,1,1
2315,2015,284,7,7,1,6,1,0,0,4,1,1
3331,2016,284,7,7,1,6,1,0,0,4,1,1
4347,2017,284,7,7,1,6,1,0,0,4,1,1
5363,2018,284,7,7,1,6,1,0,0,4,1,1
6379,2019,284,7,7,2,5,1,1,0,4,0,1
7395,2020,284,7,7,2,5,1,1,0,4,0,1
284,2013,285,32,10,2,8,1,1,0,5,3,0
1300,2014,285,32,10,3,7,2,1,0,4,3,0
2316,2015,285,32,10,3,7,2,1,0,4,3,0
3332,2016,285,32,10,3,7,2,1,0,4,3,0
4348,2017,285,32,10,3,7,2,1,0,4,3,0
5364,2018,285,32,10,3,7,2,1,0,4,3,0
6380,2019,285,32,10,4,6,2,2,0,4,2,0
7396,2020,285,32,10,5,5,3,2,0,3,2,0
285,2013,286,60,31,1,30,0,1,0,20,9,1
1301,2014,286,60,31,1,30,0,1,0,20,9,1
2317,2015,286,60,31,1,30,0,1,0,20,9,1
3333,2016,286,60,31,1,30,0,1,0,20,9,1
4349,2017,286,60,31,1,30,0,1,0,20,9,1
5365,2018,286,60,31,1,30,0,1,0,20,9,1
6381,2019,286,60,31,2,29,1,1,0,19,9,1
7397,2020,286,60,31,2,29,1,1,0,19,9,1
286,2013,287,19,17,4,13,1,2,1,9,4,0
1302,2014,287,19,17,4,13,1,2,1,9,4,0
2318,2015,287,19,17,5,12,1,3,1,9,3,0
3334,2016,287,19,17,5,12,1,3,1,9,3,0
4350,2017,287,19,17,6,11,1,4,1,9,2,0
5366,2018,287,19,17,7,10,1,5,1,9,1,0
6382,2019,287,19,17,10,7,4,5,1,6,1,0
7398,2020,287,19,17,12,5,6,5,1,4,1,0
287,2013,288,6,2,1,1,0,1,0,1,0,0
1303,2014,288,6,2,1,1,0,1,0,1,0,0
2319,2015,288,6,2,1,1,0,1,0,1,0,0
3335,2016,288,6,2,1,1,0,1,0,1,0,0
4351,2017,288,6,2,1,1,0,1,0,1,0,0
5367,2018,288,6,2,1,1,0,1,0,1,0,0
6383,2019,288,6,2,1,1,0,1,0,1,0,0
7399,2020,288,6,2,1,1,0,1,0,1,0,0
288,2013,289,38,14,1,13,0,1,0,9,4,0
1304,2014,289,38,14,2,12,0,2,0,9,3,0
2320,2015,289,38,14,2,12,0,2,0,9,3,0
3336,2016,289,38,14,2,12,0,2,0,9,3,0
4352,2017,289,38,14,2,12,0,2,0,9,3,0
5368,2018,289,38,14,3,11,1,2,0,8,3,0
6384,2019,289,38,14,3,11,1,2,0,8,3,0
7400,2020,289,38,14,4,10,1,3,0,8,2,0
289,2013,290,17,13,2,11,2,0,0,8,2,1
1305,2014,290,17,13,3,10,2,0,1,8,2,0
2321,2015,290,17,13,3,10,2,0,1,8,2,0
3337,2016,290,17,13,3,10,2,0,1,8,2,0
4353,2017,290,17,13,4,9,2,1,1,8,1,0
5369,2018,290,17,13,4,9,2,1,1,8,1,0
6385,2019,290,17,13,5,8,2,2,1,8,0,0
7401,2020,290,17,13,6,7,3,2,1,7,0,0
290,2013,291,31,21,1,20,0,1,0,13,6,1
1306,2014,291,31,21,1,20,0,1,0,13,6,1
2322,2015,291,31,21,2,19,1,1,0,12,6,1
3338,2016,291,31,21,2,19,1,1,0,12,6,1
4354,2017,291,31,21,2,19,1,1,0,12,6,1
5370,2018,291,31,21,2,19,1,1,0,12,6,1
6386,2019,291,31,21,2,19,1,1,0,12,6,1
7402,2020,291,31,21,2,19,1,1,0,12,6,1
291,2013,292,15,11,1,10,0,1,0,7,3,0
1307,2014,292,15,11,2,9,1,1,0,6,3,0
2323,2015,292,15,11,2,9,1,1,0,6,3,0
3339,2016,292,15,11,2,9,1,1,0,6,3,0
4355,2017,292,15,11,3,8,2,1,0,5,3,0
5371,2018,292,15,11,3,8,2,1,0,5,3,0
6387,2019,292,15,11,3,8,2,1,0,5,3,0
7403,2020,292,15,11,4,7,2,2,0,5,2,0
292,2013,293,52,48,8,40,4,4,0,26,12,2
1308,2014,293,52,48,9,39,5,4,0,25,12,2
2324,2015,293,52,48,11,37,5,6,0,25,10,2
3340,2016,293,52,48,15,33,6,9,0,24,7,2
4356,2017,293,52,48,17,31,8,9,0,22,7,2
5372,2018,293,52,48,21,27,9,12,0,21,4,2
6388,2019,293,52,48,22,26,9,13,0,21,3,2
7404,2020,293,52,48,27,21,14,13,0,16,3,2
293,2013,294,26,15,2,13,1,1,0,9,4,0
1309,2014,294,26,15,2,13,1,1,0,9,4,0
2325,2015,294,26,15,2,13,1,1,0,9,4,0
3341,2016,294,26,15,3,12,2,1,0,8,4,0
4357,2017,294,26,15,3,12,2,1,0,8,4,0
5373,2018,294,26,15,3,12,2,1,0,8,4,0
6389,2019,294,26,15,4,11,2,2,0,8,3,0
7405,2020,294,26,15,5,10,2,3,0,8,2,0
294,2013,295,35,25,4,21,3,1,0,13,7,1
1310,2014,295,35,25,5,20,3,2,0,13,6,1
2326,2015,295,35,25,5,20,3,2,0,13,6,1
3342,2016,295,35,25,5,20,3,2,0,13,6,1
4358,2017,295,35,25,7,18,5,2,0,11,6,1
5374,2018,295,35,25,7,18,5,2,0,11,6,1
6390,2019,295,35,25,9,16,6,3,0,10,5,1
7406,2020,295,35,25,11,14,7,4,0,9,4,1
295,2013,296,15,12,2,10,2,0,0,6,3,1
1311,2014,296,15,12,2,10,2,0,0,6,3,1
2327,2015,296,15,12,2,10,2,0,0,6,3,1
3343,2016,296,15,12,2,10,2,0,0,6,3,1
4359,2017,296,15,12,2,10,2,0,0,6,3,1
5375,2018,296,15,12,2,10,2,0,0,6,3,1
6391,2019,296,15,12,2,10,2,0,0,6,3,1
7407,2020,296,15,12,3,9,2,1,0,6,2,1
296,2013,297,8,4,1,3,1,0,0,2,1,0
1312,2014,297,8,4,1,3,1,0,0,2,1,0
2328,2015,297,8,4,1,3,1,0,0,2,1,0
3344,2016,297,8,4,1,3,1,0,0,2,1,0
4360,2017,297,8,4,1,3,1,0,0,2,1,0
5376,2018,297,8,4,1,3,1,0,0,2,1,0
6392,2019,297,8,4,1,3,1,0,0,2,1,0
7408,2020,297,8,4,1,3,1,0,0,2,1,0
297,2013,298,8,6,1,5,1,0,0,2,2,1
1313,2014,298,8,6,1,5,1,0,0,2,2,1
2329,2015,298,8,6,2,4,1,1,0,2,1,1
3345,2016,298,8,6,2,4,1,1,0,2,1,1
4361,2017,298,8,6,2,4,1,1,0,2,1,1
5377,2018,298,8,6,2,4,1,1,0,2,1,1
6393,2019,298,8,6,3,3,1,2,0,2,0,1
7409,2020,298,8,6,3,3,1,2,0,2,0,1
298,2013,299,15,9,2,7,2,0,0,5,2,0
1314,2014,299,15,9,2,7,2,0,0,5,2,0
2330,2015,299,15,9,2,7,2,0,0,5,2,0
3346,2016,299,15,9,3,6,3,0,0,4,2,0
4362,2017,299,15,9,3,6,3,0,0,4,2,0
5378,2018,299,15,9,3,6,3,0,0,4,2,0
6394,2019,299,15,9,4,5,3,1,0,4,1,0
7410,2020,299,15,9,4,5,3,1,0,4,1,0
299,2013,300,37,22,2,20,2,0,0,13,6,1
1315,2014,300,37,22,2,20,2,0,0,13,6,1
2331,2015,300,37,22,2,20,2,0,0,13,6,1
3347,2016,300,37,22,3,19,2,1,0,13,5,1
4363,2017,300,37,22,4,18,2,2,0,13,4,1
5379,2018,300,37,22,4,18,2,2,0,13,4,1
6395,2019,300,37,22,4,18,2,2,0,13,4,1
7411,2020,300,37,22,4,18,2,2,0,13,4,1
300,2013,301,13,12,1,11,1,0,0,8,2,1
1316,2014,301,13,12,1,11,1,0,0,8,2,1
2332,2015,301,13,12,1,11,1,0,0,8,2,1
3348,2016,301,13,12,1,11,1,0,0,8,2,1
4364,2017,301,13,12,1,11,1,0,0,8,2,1
5380,2018,301,13,12,1,11,1,0,0,8,2,1
6396,2019,301,13,12,1,11,1,0,0,8,2,1
7412,2020,301,13,12,2,10,2,0,0,7,2,1
301,2013,302,30,14,1,13,1,0,0,8,4,1
1317,2014,302,30,14,1,13,1,0,0,8,4,1
2333,2015,302,30,14,1,13,1,0,0,8,4,1
3349,2016,302,30,14,1,13,1,0,0,8,4,1
4365,2017,302,30,14,1,13,1,0,0,8,4,1
5381,2018,302,30,14,1,13,1,0,0,8,4,1
6397,2019,302,30,14,1,13,1,0,0,8,4,1
7413,2020,302,30,14,2,12,1,0,1,8,4,0
302,2013,303,28,18,3,15,1,2,0,10,5,0
1318,2014,303,28,18,4,14,2,2,0,9,5,0
2334,2015,303,28,18,4,14,2,2,0,9,5,0
3350,2016,303,28,18,6,12,2,4,0,9,3,0
4366,2017,303,28,18,6,12,2,4,0,9,3,0
5382,2018,303,28,18,7,11,3,4,0,8,3,0
6398,2019,303,28,18,8,10,4,4,0,7,3,0
7414,2020,303,28,18,10,8,5,5,0,6,2,0
303,2013,304,8,6,2,4,1,1,0,2,2,0
1319,2014,304,8,6,2,4,1,1,0,2,2,0
2335,2015,304,8,6,2,4,1,1,0,2,2,0
3351,2016,304,8,6,2,4,1,1,0,2,2,0
4367,2017,304,8,6,2,4,1,1,0,2,2,0
5383,2018,304,8,6,3,3,1,2,0,2,1,0
6399,2019,304,8,6,3,3,1,2,0,2,1,0
7415,2020,304,8,6,4,2,1,3,0,2,0,0
304,2013,305,15,6,1,5,0,1,0,3,2,0
1320,2014,305,15,6,1,5,0,1,0,3,2,0
2336,2015,305,15,6,1,5,0,1,0,3,2,0
3352,2016,305,15,6,1,5,0,1,0,3,2,0
4368,2017,305,15,6,2,4,1,1,0,2,2,0
5384,2018,305,15,6,2,4,1,1,0,2,2,0
6400,2019,305,15,6,2,4,1,1,0,2,2,0
7416,2020,305,15,6,3,3,2,1,0,1,2,0
305,2013,306,57,37,3,34,2,1,0,23,10,1
1321,2014,306,57,37,4,33,3,1,0,22,10,1
2337,2015,306,57,37,4,33,3,1,0,22,10,1
3353,2016,306,57,37,5,32,3,2,0,22,9,1
4369,2017,306,57,37,5,32,3,2,0,22,9,1
5385,2018,306,57,37,6,31,3,3,0,22,8,1
6401,2019,306,57,37,7,30,3,4,0,22,7,1
7417,2020,306,57,37,8,29,3,5,0,22,6,1
306,2013,307,56,39,5,34,4,1,0,22,10,2
1322,2014,307,56,39,5,34,4,1,0,22,10,2
2338,2015,307,56,39,7,32,6,1,0,20,10,2
3354,2016,307,56,39,8,31,7,1,0,19,10,2
4370,2017,307,56,39,10,29,7,3,0,19,8,2
5386,2018,307,56,39,13,26,10,3,0,16,8,2
6402,2019,307,56,39,14,25,11,3,0,15,8,2
7418,2020,307,56,39,17,22,11,6,0,15,5,2
307,2013,308,11,9,2,7,1,1,0,5,2,0
1323,2014,308,11,9,2,7,1,1,0,5,2,0
2339,2015,308,11,9,2,7,1,1,0,5,2,0
3355,2016,308,11,9,2,7,1,1,0,5,2,0
4371,2017,308,11,9,3,6,1,2,0,5,1,0
5387,2018,308,11,9,3,6,1,2,0,5,1,0
6403,2019,308,11,9,4,5,1,3,0,5,0,0
7419,2020,308,11,9,4,5,1,3,0,5,0,0
308,2013,309,48,46,1,45,1,0,0,29,14,2
1324,2014,309,48,46,1,45,1,0,0,29,14,2
2340,2015,309,48,46,1,45,1,0,0,29,14,2
3356,2016,309,48,46,1,45,1,0,0,29,14,2
4372,2017,309,48,46,1,45,1,0,0,29,14,2
5388,2018,309,48,46,2,44,1,1,0,29,13,2
6404,2019,309,48,46,2,44,1,1,0,29,13,2
7420,2020,309,48,46,2,44,1,1,0,29,13,2
309,2013,310,38,17,2,15,1,1,0,9,5,1
1325,2014,310,38,17,2,15,1,1,0,9,5,1
2341,2015,310,38,17,2,15,1,1,0,9,5,1
3357,2016,310,38,17,2,15,1,1,0,9,5,1
4373,2017,310,38,17,3,14,1,2,0,9,4,1
5389,2018,310,38,17,3,14,1,2,0,9,4,1
6405,2019,310,38,17,3,14,1,2,0,9,4,1
7421,2020,310,38,17,4,13,1,3,0,9,3,1
310,2013,311,28,18,1,17,0,1,0,11,5,1
1326,2014,311,28,18,1,17,0,1,0,11,5,1
2342,2015,311,28,18,1,17,0,1,0,11,5,1
3358,2016,311,28,18,1,17,0,1,0,11,5,1
4374,2017,311,28,18,1,17,0,1,0,11,5,1
5390,2018,311,28,18,1,17,0,1,0,11,5,1
6406,2019,311,28,18,1,17,0,1,0,11,5,1
7422,2020,311,28,18,2,16,1,1,0,10,5,1
311,2013,312,12,6,1,5,1,0,0,4,1,0
1327,2014,312,12,6,2,4,1,1,0,4,0,0
2343,2015,312,12,6,2,4,1,1,0,4,0,0
3359,2016,312,12,6,2,4,1,1,0,4,0,0
4375,2017,312,12,6,2,4,1,1,0,4,0,0
5391,2018,312,12,6,2,4,1,1,0,4,0,0
6407,2019,312,12,6,2,4,1,1,0,4,0,0
7423,2020,312,12,6,3,3,2,1,0,3,0,0
312,2013,313,26,8,1,7,0,1,0,3,3,1
1328,2014,313,26,8,1,7,0,1,0,3,3,1
2344,2015,313,26,8,1,7,0,1,0,3,3,1
3360,2016,313,26,8,1,7,0,1,0,3,3,1
4376,2017,313,26,8,1,7,0,1,0,3,3,1
5392,2018,313,26,8,1,7,0,1,0,3,3,1
6408,2019,313,26,8,1,7,0,1,0,3,3,1
7424,2020,313,26,8,1,7,0,1,0,3,3,1
313,2013,314,14,7,1,6,1,0,0,3,2,1
1329,2014,314,14,7,1,6,1,0,0,3,2,1
2345,2015,314,14,7,2,5,1,1,0,3,1,1
3361,2016,314,14,7,2,5,1,1,0,3,1,1
4377,2017,314,14,7,2,5,1,1,0,3,1,1
5393,2018,314,14,7,2,5,1,1,0,3,1,1
6409,2019,314,14,7,2,5,1,1,0,3,1,1
7425,2020,314,14,7,2,5,1,1,0,3,1,1
314,2013,315,36,26,1,25,0,1,0,16,7,2
1330,2014,315,36,26,1,25,0,1,0,16,7,2
2346,2015,315,36,26,1,25,0,1,0,16,7,2
3362,2016,315,36,26,2,24,1,1,0,15,7,2
4378,2017,315,36,26,2,24,1,1,0,15,7,2
5394,2018,315,36,26,2,24,1,1,0,15,7,2
6410,2019,315,36,26,2,24,1,1,0,15,7,2
7426,2020,315,36,26,3,23,2,1,0,14,7,2
315,2013,316,11,4,1,3,0,1,0,2,1,0
1331,2014,316,11,4,1,3,0,1,0,2,1,0
2347,2015,316,11,4,2,2,0,2,0,2,0,0
3363,2016,316,11,4,2,2,0,2,0,2,0,0
4379,2017,316,11,4,2,2,0,2,0,2,0,0
5395,2018,316,11,4,2,2,0,2,0,2,0,0
6411,2019,316,11,4,2,2,0,2,0,2,0,0
7427,2020,316,11,4,3,1,1,2,0,1,0,0
316,2013,317,38,21,3,18,3,0,0,12,6,0
1332,2014,317,38,21,4,17,3,1,0,12,5,0
2348,2015,317,38,21,5,16,3,2,0,12,4,0
3364,2016,317,38,21,6,15,4,2,0,11,4,0
4380,2017,317,38,21,7,14,5,2,0,10,4,0
5396,2018,317,38,21,9,12,5,4,0,10,2,0
6412,2019,317,38,21,12,9,8,4,0,7,2,0
7428,2020,317,38,21,13,8,8,5,0,7,1,0
