,Quizz_ID,Year,Departement,Chapter_ID,Rank_onChapter,Quizz_Type,B,Slip,Guess,Number_Attempts,UniQ_Learner,Sucessful_Learners,Unsucessful_Learners,Avg_Attempts,Percent_Learners_Success,Success_Attempts,Failure_Attempts,TruePrct_Succes,Predict_Difficulty,Correct_Difficulty,Prediction/Correct Difficulty
3396,77,2019,Ingenieurie,9,8,QCM,0.7272,0.19,0.65,31,26,23,3,1.19,88.46,23,8,72.72,Adapte,Adapte,Adapte / Adapte
4226,77,2020,Ingenieurie,9,8,QCM,0.695,0.25,0.4,37,35,26,9,1.06,74.29,26,11,69.5,Adapte,Adapte,Adapte / Adapte
77,78,2015,Ingenieurie,9,9,QROC,0.1686,0.78,0.02,77,34,13,21,2.26,38.24,13,64,16.86,Trop Difficile,Trop Difficile,Trop Difficile / Trop Difficile
907,78,2016,Ingenieurie,9,9,QROC,0.9911,0.03,0.87,75,75,74,1,1.0,98.67,74,1,99.11,Trop Facile,Trop Facile,Trop Facile / Trop Facile
1737,78,2017,Ingenieurie,9,9,QROC,0.2809,0.55,0.17,74,52,21,31,1.42,40.38,21,53,28.09,Trop Facile,Difficile,Trop Facile / Difficile
2567,78,2018,Ingenieurie,9,9,QROC,0.8622,0.07,0.71,63,57,54,3,1.11,94.74,54,9,86.22,Trop Facile,Trop Facile,Trop Facile / Trop Facile
3397,78,2019,Ingenieurie,9,9,QROC,0.8727,0.03,0.94,60,55,52,3,1.09,94.55,52,8,87.27,Trop Facile,Trop Facile,Trop Facile / Trop Facile
4227,78,2020,Ingenieurie,9,9,QROC,0.9985,0.1,0.96,57,57,57,0,1.0,100.0,57,0,99.85,Trop Facile,Trop Facile,Trop Facile / Trop Facile
78,79,2015,Ingenieurie,9,10,QCU,0.7809,0.13,0.83,27,25,21,4,1.08,84.0,21,6,78.09,Facile,Facile,Facile / Facile
908,79,2016,Ingenieurie,9,10,QCU,0.9564,0.1,0.9,25,24,24,0,1.04,100.0,24,1,95.64,Trop Facile,Trop Facile,Trop Facile / Trop Facile
1738,79,2017,Ingenieurie,9,10,QCU,0.9859,0.04,0.98,24,24,24,0,1.0,100.0,24,0,98.59,Trop Facile,Trop Facile,Trop Facile / Trop Facile
2568,79,2018,Ingenieurie,9,10,QCU,0.9976,0.06,0.93,24,24,24,0,1.0,100.0,24,0,99.76,Trop Facile,Trop Facile,Trop Facile / Trop Facile
3398,79,2019,Ingenieurie,9,10,QCU,0.9557,0.09,0.93,26,25,25,0,1.04,100.0,25,1,95.57,Trop Facile,Trop Facile,Trop Facile / Trop Facile
4228,79,2020,Ingenieurie,9,10,QCU,0.9892,0.03,0.97,26,26,26,0,1.0,100.0,26,0,98.92,Trop Facile,Trop Facile,Trop Facile / Trop Facile
79,80,2015,Ingenieurie,9,11,QCM,0.1373,0.66,0.27,43,23,6,17,1.87,26.09,6,37,13.73,Adapte,Trop Difficile,Adapte / Trop Difficile
909,80,2016,Ingenieurie,9,11,QCM,0.9397,0.01,0.83,40,38,38,0,1.05,100.0,38,2,93.97,Trop Facile,Trop Facile,Trop Facile / Trop Facile
1739,80,2017,Ingenieurie,9,11,QCM,0.9706,0.01,0.89,47,46,46,0,1.02,100.0,46,1,97.06,Trop Facile,Trop Facile,Trop Facile / Trop Facile
2569,80,2018,Ingenieurie,9,11,QCM,0.9754,0.01,0.95,40,39,39,0,1.03,100.0,39,1,97.54,Trop Facile,Trop Facile,Trop Facile / Trop Facile
3399,80,2019,Ingenieurie,9,11,QCM,0.6651,0.06,0.55,38,34,25,9,1.12,73.53,25,13,66.51,Trop Facile,Adapte,Trop Facile / Adapte
4229,80,2020,Ingenieurie,9,11,QCM,0.6668,0.18,0.66,31,22,21,1,1.41,95.45,21,10,66.68,Adapte,Adapte,Adapte / Adapte
80,81,2015,Ingenieurie,9,12,QCM,0.6608,0.27,0.66,77,75,51,24,1.03,68.0,51,26,66.08,Adapte,Adapte,Adapte / Adapte
910,81,2016,Ingenieurie,9,12,QCM,0.6319,0.27,0.5,66,46,42,4,1.43,91.3,42,24,63.19,Adapte,Adapte,Adapte / Adapte
1740,81,2017,Ingenieurie,9,12,QCM,0.6914,0.06,0.65,56,43,39,4,1.3,90.7,39,17,69.14,Adapte,Adapte,Adapte / Adapte
2570,81,2018,Ingenieurie,9,12,QCM,0.6194,0.2,0.47,58,45,36,9,1.29,80.0,36,22,61.94,Adapte,Adapte,Adapte / Adapte
3400,81,2019,Ingenieurie,9,12,QCM,0.6415,0.03,0.51,55,48,35,13,1.15,72.92,35,20,64.15,Adapte,Adapte,Adapte / Adapte
4230,81,2020,Ingenieurie,9,12,QCM,0.6596,0.07,0.54,61,55,40,15,1.11,72.73,40,21,65.96,Adapte,Adapte,Adapte / Adapte
81,82,2015,Ingenieurie,9,13,QCM,0.6922,0.16,0.57,65,55,45,10,1.18,81.82,45,20,69.22,Difficile,Adapte,Difficile / Adapte
911,82,2016,Ingenieurie,9,13,QCM,0.6915,0.17,0.62,64,50,44,6,1.28,88.0,44,20,69.15,Adapte,Adapte,Adapte / Adapte
1741,82,2017,Ingenieurie,9,13,QCM,0.7315,0.15,0.45,69,51,50,1,1.35,98.04,50,19,73.15,Adapte,Adapte,Adapte / Adapte
2571,82,2018,Ingenieurie,9,13,QCM,0.6973,0.03,0.59,55,50,38,12,1.1,76.0,38,17,69.73,Adapte,Adapte,Adapte / Adapte
3401,82,2019,Ingenieurie,9,13,QCM,0.7057,0.28,0.51,49,39,35,4,1.26,89.74,35,14,70.57,Adapte,Adapte,Adapte / Adapte
4231,82,2020,Ingenieurie,9,13,QCM,0.6127,0.07,0.55,58,54,36,18,1.07,66.67,36,22,61.27,Adapte,Adapte,Adapte / Adapte
82,83,2015,Ingenieurie,10,1,QCM,0.8175,0.09,0.77,53,46,43,3,1.15,93.48,43,10,81.75,Difficile,Facile,Difficile / Facile
912,83,2016,Ingenieurie,10,1,QCM,0.9313,0.07,0.84,64,63,60,3,1.02,95.24,60,4,93.13,Trop Facile,Trop Facile,Trop Facile / Trop Facile
1742,83,2017,Ingenieurie,10,1,QCM,0.019,0.43,0.23,53,35,1,34,1.51,2.86,1,52,1.9,Trop Facile,Trop Difficile,Trop Facile / Trop Difficile
2572,83,2018,Ingenieurie,10,1,QCM,0.9314,0.01,0.96,51,49,48,1,1.04,97.96,48,3,93.14,Trop Facile,Trop Facile,Trop Facile / Trop Facile
3402,83,2019,Ingenieurie,10,1,QCM,0.9437,0.01,0.83,47,45,44,1,1.04,97.78,44,3,94.37,Trop Facile,Trop Facile,Trop Facile / Trop Facile
4232,83,2020,Ingenieurie,10,1,QCM,0.6347,0.0,0.55,55,36,35,1,1.53,97.22,35,20,63.47,Trop Facile,Adapte,Trop Facile / Adapte
83,84,2015,Ingenieurie,10,2,QO,0.9902,0.01,0.72,83,82,82,0,1.01,100.0,82,1,99.02,Trop Difficile,Trop Facile,Trop Difficile / Trop Facile
913,84,2016,Ingenieurie,10,2,QO,0.1771,0.95,0.02,79,52,14,38,1.52,26.92,14,65,17.71,Trop Facile,Trop Difficile,Trop Facile / Trop Difficile
1743,84,2017,Ingenieurie,10,2,QO,0.821,0.1,0.74,87,86,71,15,1.01,82.56,71,16,82.1,Trop Facile,Facile,Trop Facile / Facile
2573,84,2018,Ingenieurie,10,2,QO,0.8196,0.19,0.46,88,80,72,8,1.1,90.0,72,16,81.96,Trop Facile,Facile,Trop Facile / Facile
3403,84,2019,Ingenieurie,10,2,QO,0.9183,0.08,0.76,105,100,96,4,1.05,96.0,96,9,91.83,Trop Facile,Trop Facile,Trop Facile / Trop Facile
4233,84,2020,Ingenieurie,10,2,QO,0.9023,0.05,0.65,84,84,76,8,1.0,90.48,76,8,90.23,Trop Facile,Trop Facile,Trop Facile / Trop Facile
84,85,2015,Ingenieurie,10,3,QCM,0.9046,0.06,0.84,76,74,69,5,1.03,93.24,69,7,90.46,Trop Facile,Trop Facile,Trop Facile / Trop Facile
914,85,2016,Ingenieurie,10,3,QCM,0.9247,0.05,0.89,70,68,65,3,1.03,95.59,65,5,92.47,Trop Facile,Trop Facile,Trop Facile / Trop Facile
1744,85,2017,Ingenieurie,10,3,QCM,0.4084,0.29,0.4,74,33,30,3,2.24,90.91,30,44,40.84,Trop Facile,Difficile,Trop Facile / Difficile
2574,85,2018,Ingenieurie,10,3,QCM,0.5349,0.05,0.31,72,61,39,22,1.18,63.93,39,33,53.49,Trop Facile,Difficile,Trop Facile / Difficile
3404,85,2019,Ingenieurie,10,3,QCM,0.8368,0.1,0.73,66,61,55,6,1.08,90.16,55,11,83.68,Trop Facile,Facile,Trop Facile / Facile
4234,85,2020,Ingenieurie,10,3,QCM,0.6475,0.01,0.52,63,46,41,5,1.37,89.13,41,22,64.75,Trop Facile,Adapte,Trop Facile / Adapte
85,86,2015,Ingenieurie,10,4,QCM,0.1487,0.22,0.22,59,34,9,25,1.74,26.47,9,50,14.87,Trop Difficile,Trop Difficile,Trop Difficile / Trop Difficile
915,86,2016,Ingenieurie,10,4,QCM,0.9694,0.04,0.82,68,68,66,2,1.0,97.06,66,2,96.94,Trop Facile,Trop Facile,Trop Facile / Trop Facile
1745,86,2017,Ingenieurie,10,4,QCM,0.9898,0.07,0.84,58,58,57,1,1.0,98.28,57,1,98.98,Trop Facile,Trop Facile,Trop Facile / Trop Facile
2575,86,2018,Ingenieurie,10,4,QCM,0.9255,0.02,0.97,52,49,48,1,1.06,97.96,48,4,92.55,Trop Facile,Trop Facile,Trop Facile / Trop Facile
3405,86,2019,Ingenieurie,10,4,QCM,0.0893,0.2,0.22,54,19,5,14,2.84,26.32,5,49,8.93,Trop Facile,Trop Difficile,Trop Facile / Trop Difficile
4235,86,2020,Ingenieurie,10,4,QCM,0.3588,0.06,0.35,54,39,19,20,1.38,48.72,19,35,35.88,Trop Facile,Difficile,Trop Facile / Difficile
86,87,2015,Ingenieurie,10,5,QCM,0.4237,0.38,0.32,41,32,17,15,1.28,53.12,17,24,42.37,Trop Difficile,Difficile,Trop Difficile / Difficile
916,87,2016,Ingenieurie,10,5,QCM,0.9093,0.06,0.82,41,41,37,4,1.0,90.24,37,4,90.93,Trop Facile,Trop Facile,Trop Facile / Trop Facile
1746,87,2017,Ingenieurie,10,5,QCM,0.9128,0.01,0.9,49,47,45,2,1.04,95.74,45,4,91.28,Trop Facile,Trop Facile,Trop Facile / Trop Facile
2576,87,2018,Ingenieurie,10,5,QCM,0.934,0.07,1.0,42,41,39,2,1.02,95.12,39,3,93.4,Trop Facile,Trop Facile,Trop Facile / Trop Facile
3406,87,2019,Ingenieurie,10,5,QCM,0.8835,0.09,0.94,40,36,35,1,1.11,97.22,35,5,88.35,Trop Facile,Trop Facile,Trop Facile / Trop Facile
4236,87,2020,Ingenieurie,10,5,QCM,0.8708,0.01,0.97,39,36,34,2,1.08,94.44,34,5,87.08,Trop Facile,Trop Facile,Trop Facile / Trop Facile
87,88,2015,Ingenieurie,10,6,QCM,0.6356,0.29,0.6,98,92,62,30,1.07,67.39,62,36,63.56,Trop Difficile,Adapte,Trop Difficile / Adapte
917,88,2016,Ingenieurie,10,6,QCM,0.7467,0.27,0.51,107,98,80,18,1.09,81.63,80,27,74.67,Adapte,Adapte,Adapte / Adapte
1747,88,2017,Ingenieurie,10,6,QCM,0.6796,0.21,0.49,103,90,70,20,1.14,77.78,70,33,67.96,Adapte,Adapte,Adapte / Adapte
2577,88,2018,Ingenieurie,10,6,QCM,0.6193,0.18,0.58,100,69,62,7,1.45,89.86,62,38,61.93,Adapte,Adapte,Adapte / Adapte
3407,88,2019,Ingenieurie,10,6,QCM,0.7458,0.03,0.57,118,118,88,30,1.0,74.58,88,30,74.58,Adapte,Adapte,Adapte / Adapte
4237,88,2020,Ingenieurie,10,6,QCM,0.6194,0.18,0.47,105,82,65,17,1.28,79.27,65,40,61.94,Adapte,Adapte,Adapte / Adapte
88,89,2015,Ingenieurie,10,7,QCM,0.8169,0.08,0.7,91,77,74,3,1.18,96.1,74,17,81.69,Facile,Facile,Facile / Facile
918,89,2016,Ingenieurie,10,7,QCM,0.91,0.0,0.96,78,76,71,5,1.03,93.42,71,7,91.0,Trop Facile,Trop Facile,Trop Facile / Trop Facile
1748,89,2017,Ingenieurie,10,7,QCM,0.7615,0.19,0.73,77,65,59,6,1.18,90.77,59,18,76.15,Trop Facile,Facile,Trop Facile / Facile
2578,89,2018,Ingenieurie,10,7,QCM,0.8102,0.16,0.77,81,77,66,11,1.05,85.71,66,15,81.02,Trop Facile,Facile,Trop Facile / Facile
3408,89,2019,Ingenieurie,10,7,QCM,0.932,0.03,0.95,89,88,83,5,1.01,94.32,83,6,93.2,Trop Facile,Trop Facile,Trop Facile / Trop Facile
4238,89,2020,Ingenieurie,10,7,QCM,0.9102,0.05,0.87,104,96,95,1,1.08,98.96,95,9,91.02,Trop Facile,Trop Facile,Trop Facile / Trop Facile
89,90,2015,Ingenieurie,10,8,QCU,0.972,0.05,0.99,91,90,88,2,1.01,97.78,88,3,97.2,Difficile,Trop Facile,Difficile / Trop Facile
919,90,2016,Ingenieurie,10,8,QCU,0.4459,0.02,0.37,98,57,44,13,1.72,77.19,44,54,44.59,Trop Facile,Difficile,Trop Facile / Difficile
1749,90,2017,Ingenieurie,10,8,QCU,0.9205,0.07,0.94,96,95,88,7,1.01,92.63,88,8,92.05,Trop Facile,Trop Facile,Trop Facile / Trop Facile
2579,90,2018,Ingenieurie,10,8,QCU,0.8616,0.07,0.92,80,69,69,0,1.16,100.0,69,11,86.16,Trop Facile,Trop Facile,Trop Facile / Trop Facile
3409,90,2019,Ingenieurie,10,8,QCU,0.8783,0.03,0.99,76,76,67,9,1.0,88.16,67,9,87.83,Trop Facile,Trop Facile,Trop Facile / Trop Facile
4239,90,2020,Ingenieurie,10,8,QCU,0.766,0.06,0.83,82,79,63,16,1.04,79.75,63,19,76.6,Trop Facile,Facile,Trop Facile / Facile
90,91,2015,Ingenieurie,10,9,QCM,0.288,0.16,0.39,8,4,2,2,2.0,50.0,2,6,28.8,Difficile,Difficile,Difficile / Difficile
920,91,2016,Ingenieurie,10,9,QCM,0.8761,0.03,0.81,6,5,5,0,1.2,100.0,5,1,87.61,Trop Facile,Trop Facile,Trop Facile / Trop Facile
1750,91,2017,Ingenieurie,10,9,QCM,0.9068,0.04,0.89,6,5,5,0,1.2,100.0,5,1,90.68,Trop Facile,Trop Facile,Trop Facile / Trop Facile
2580,91,2018,Ingenieurie,10,9,QCM,0.8658,0.1,0.92,5,5,4,1,1.0,80.0,4,1,86.58,Trop Facile,Trop Facile,Trop Facile / Trop Facile
3410,91,2019,Ingenieurie,10,9,QCM,0.4288,0.07,0.32,5,4,2,2,1.25,50.0,2,3,42.88,Trop Facile,Difficile,Trop Facile / Difficile
4240,91,2020,Ingenieurie,10,9,QCM,0.9065,0.09,1.0,5,5,5,0,1.0,100.0,5,0,90.65,Trop Facile,Trop Facile,Trop Facile / Trop Facile
91,92,2015,Ingenieurie,10,10,QCU,0.2398,0.4,0.23,6,5,1,4,1.2,20.0,1,5,23.98,Facile,Trop Difficile,Facile / Trop Difficile
921,92,2016,Ingenieurie,10,10,QCU,0.9195,0.03,0.96,5,5,5,0,1.0,100.0,5,0,91.95,Trop Facile,Trop Facile,Trop Facile / Trop Facile
1751,92,2017,Ingenieurie,10,10,QCU,0.9078,0.03,0.96,6,6,5,1,1.0,83.33,5,1,90.78,Trop Facile,Trop Facile,Trop Facile / Trop Facile
2581,92,2018,Ingenieurie,10,10,QCU,0.8817,0.0,0.92,7,7,6,1,1.0,85.71,6,1,88.17,Trop Facile,Trop Facile,Trop Facile / Trop Facile
3411,92,2019,Ingenieurie,10,10,QCU,0.8802,0.1,0.98,7,7,6,1,1.0,85.71,6,1,88.02,Trop Facile,Trop Facile,Trop Facile / Trop Facile
4241,92,2020,Ingenieurie,10,10,QCU,0.7888,0.18,0.85,8,6,6,0,1.33,100.0,6,2,78.88,Trop Facile,Facile,Trop Facile / Facile
92,93,2015,Ingenieurie,10,11,QCM,0.151,0.29,0.24,34,28,5,23,1.21,17.86,5,29,15.1,Trop Facile,Trop Difficile,Trop Facile / Trop Difficile
922,93,2016,Ingenieurie,10,11,QCM,0.9317,0.01,0.81,37,34,34,0,1.09,100.0,34,3,93.17,Trop Facile,Trop Facile,Trop Facile / Trop Facile
1752,93,2017,Ingenieurie,10,11,QCM,0.9102,0.09,0.91,43,39,39,0,1.1,100.0,39,4,91.02,Trop Facile,Trop Facile,Trop Facile / Trop Facile
2582,93,2018,Ingenieurie,10,11,QCM,0.9723,0.02,0.84,42,42,41,1,1.0,97.62,41,1,97.23,Trop Facile,Trop Facile,Trop Facile / Trop Facile
3412,93,2019,Ingenieurie,10,11,QCM,0.9446,0.01,0.87,44,44,42,2,1.0,95.45,42,2,94.46,Trop Facile,Trop Facile,Trop Facile / Trop Facile
4242,93,2020,Ingenieurie,10,11,QCM,0.8685,0.05,0.8,46,45,40,5,1.02,88.89,40,6,86.85,Trop Facile,Trop Facile,Trop Facile / Trop Facile
93,94,2015,Ingenieurie,10,12,QROC,0.8123,0.03,0.63,42,38,34,4,1.11,89.47,34,8,81.23,Adapte,Facile,Adapte / Facile
923,94,2016,Ingenieurie,10,12,QROC,0.9409,0.05,0.64,41,41,39,2,1.0,95.12,39,2,94.09,Trop Facile,Trop Facile,Trop Facile / Trop Facile
1753,94,2017,Ingenieurie,10,12,QROC,0.9398,0.07,0.99,40,40,38,2,1.0,95.0,38,2,93.98,Trop Facile,Trop Facile,Trop Facile / Trop Facile
2583,94,2018,Ingenieurie,10,12,QROC,0.1196,0.89,0.04,44,27,5,22,1.63,18.52,5,39,11.96,Trop Facile,Trop Difficile,Trop Facile / Trop Difficile
3413,94,2019,Ingenieurie,10,12,QROC,0.8975,0.04,0.63,46,45,41,4,1.02,91.11,41,5,89.75,Trop Facile,Trop Facile,Trop Facile / Trop Facile
4243,94,2020,Ingenieurie,10,12,QROC,0.7866,0.17,0.52,53,47,42,5,1.13,89.36,42,11,78.66,Trop Facile,Facile,Trop Facile / Facile
94,95,2015,Ingenieurie,10,13,QCM,0.5409,0.46,0.34,54,51,29,22,1.06,56.86,29,25,54.09,Facile,Difficile,Facile / Difficile
924,95,2016,Ingenieurie,10,13,QCM,0.9916,0.05,0.83,44,44,44,0,1.0,100.0,44,0,99.16,Trop Facile,Trop Facile,Trop Facile / Trop Facile
1754,95,2017,Ingenieurie,10,13,QCM,0.9762,0.0,1.0,48,48,47,1,1.0,97.92,47,1,97.62,Trop Facile,Trop Facile,Trop Facile / Trop Facile
2584,95,2018,Ingenieurie,10,13,QCM,0.8748,0.02,0.82,54,50,47,3,1.08,94.0,47,7,87.48,Trop Facile,Trop Facile,Trop Facile / Trop Facile
3414,95,2019,Ingenieurie,10,13,QCM,0.7277,0.28,0.7,49,39,36,3,1.26,92.31,36,13,72.77,Trop Facile,Adapte,Trop Facile / Adapte
4244,95,2020,Ingenieurie,10,13,QCM,0.7132,0.05,0.47,40,37,29,8,1.08,78.38,29,11,71.32,Adapte,Adapte,Adapte / Adapte
95,96,2015,Ingenieurie,11,1,QCU,0.4811,0.22,0.31,19,18,9,9,1.06,50.0,9,10,48.11,Difficile,Difficile,Difficile / Difficile
925,96,2016,Ingenieurie,11,1,QCU,0.9236,0.03,0.91,23,22,21,1,1.05,95.45,21,2,92.36,Trop Facile,Trop Facile,Trop Facile / Trop Facile
1755,96,2017,Ingenieurie,11,1,QCU,0.8613,0.04,0.98,24,23,21,2,1.04,91.3,21,3,86.13,Trop Facile,Trop Facile,Trop Facile / Trop Facile
2585,96,2018,Ingenieurie,11,1,QCU,0.8107,0.14,0.9,21,20,17,3,1.05,85.0,17,4,81.07,Trop Facile,Facile,Trop Facile / Facile
3415,96,2019,Ingenieurie,11,1,QCU,0.9693,0.04,0.97,23,23,22,1,1.0,95.65,22,1,96.93,Trop Facile,Trop Facile,Trop Facile / Trop Facile
4245,96,2020,Ingenieurie,11,1,QCU,0.9849,0.01,0.9,21,21,21,0,1.0,100.0,21,0,98.49,Trop Facile,Trop Facile,Trop Facile / Trop Facile
96,97,2015,Ingenieurie,11,2,QCU,0.2969,0.14,0.35,39,34,12,22,1.15,35.29,12,27,29.69,Difficile,Difficile,Difficile / Difficile
926,97,2016,Ingenieurie,11,2,QCU,0.9658,0.07,0.95,39,38,38,0,1.03,100.0,38,1,96.58,Trop Facile,Trop Facile,Trop Facile / Trop Facile
1756,97,2017,Ingenieurie,11,2,QCU,0.8914,0.01,0.98,47,43,42,1,1.09,97.67,42,5,89.14,Trop Facile,Trop Facile,Trop Facile / Trop Facile
2586,97,2018,Ingenieurie,11,2,QCU,0.011,0.5,0.26,48,26,1,25,1.85,3.85,1,47,1.1,Trop Facile,Trop Difficile,Trop Facile / Trop Difficile
3416,97,2019,Ingenieurie,11,2,QCU,0.9199,0.03,0.94,54,51,50,1,1.06,98.04,50,4,91.99,Trop Facile,Trop Facile,Trop Facile / Trop Facile
4246,97,2020,Ingenieurie,11,2,QCU,0.9334,0.01,0.98,43,40,40,0,1.07,100.0,40,3,93.34,Trop Facile,Trop Facile,Trop Facile / Trop Facile
97,98,2015,Ingenieurie,11,3,QCU,0.0178,0.71,0.28,35,22,1,21,1.59,4.55,1,34,1.78,Trop Difficile,Trop Difficile,Trop Difficile / Trop Difficile
927,98,2016,Ingenieurie,11,3,QCU,0.6389,0.27,0.65,28,26,18,8,1.08,69.23,18,10,63.89,Trop Facile,Adapte,Trop Facile / Adapte
1757,98,2017,Ingenieurie,11,3,QCU,0.6474,0.14,0.63,33,23,21,2,1.43,91.3,21,12,64.74,Adapte,Adapte,Adapte / Adapte
2587,98,2018,Ingenieurie,11,3,QCU,0.7316,0.11,0.65,30,28,22,6,1.07,78.57,22,8,73.16,Adapte,Adapte,Adapte / Adapte
3417,98,2019,Ingenieurie,11,3,QCU,0.6724,0.13,0.57,27,18,18,0,1.5,100.0,18,9,67.24,Adapte,Adapte,Adapte / Adapte
4247,98,2020,Ingenieurie,11,3,QCU,0.7025,0.29,0.65,28,20,20,0,1.4,100.0,20,8,70.25,Adapte,Adapte,Adapte / Adapte
98,99,2015,Ingenieurie,11,4,QCU,0.782,0.06,0.9,38,35,30,5,1.09,85.71,30,8,78.2,Facile,Facile,Facile / Facile
928,99,2016,Ingenieurie,11,4,QCU,0.8216,0.06,0.87,36,31,30,1,1.16,96.77,30,6,82.16,Trop Facile,Facile,Trop Facile / Facile
1758,99,2017,Ingenieurie,11,4,QCU,0.9152,0.03,0.9,37,36,34,2,1.03,94.44,34,3,91.52,Trop Facile,Trop Facile,Trop Facile / Trop Facile
2588,99,2018,Ingenieurie,11,4,QCU,0.9196,0.09,0.94,43,42,40,2,1.02,95.24,40,3,91.96,Trop Facile,Trop Facile,Trop Facile / Trop Facile
3418,99,2019,Ingenieurie,11,4,QCU,0.7776,0.11,0.87,52,45,40,5,1.16,88.89,40,12,77.76,Trop Facile,Facile,Trop Facile / Facile
4248,99,2020,Ingenieurie,11,4,QCU,0.6092,0.12,0.59,54,43,33,10,1.26,76.74,33,21,60.92,Trop Facile,Adapte,Trop Facile / Adapte
99,100,2015,Ingenieurie,11,5,QCU,0.9919,0.01,0.9,64,63,63,0,1.02,100.0,63,1,99.19,Trop Facile,Trop Facile,Trop Facile / Trop Facile
929,100,2016,Ingenieurie,11,5,QCU,0.9388,0.06,0.97,60,58,56,2,1.03,96.55,56,4,93.88,Trop Facile,Trop Facile,Trop Facile / Trop Facile
1759,100,2017,Ingenieurie,11,5,QCU,0.905,0.05,0.94,62,60,56,4,1.03,93.33,56,6,90.5,Trop Facile,Trop Facile,Trop Facile / Trop Facile
2589,100,2018,Ingenieurie,11,5,QCU,0.7452,0.1,0.4,70,53,52,1,1.32,98.11,52,18,74.52,Trop Facile,Adapte,Trop Facile / Adapte
3419,100,2019,Ingenieurie,11,5,QCU,0.6752,0.12,0.42,80,74,54,20,1.08,72.97,54,26,67.52,Adapte,Adapte,Adapte / Adapte
4249,100,2020,Ingenieurie,11,5,QCU,0.744,0.1,0.53,75,62,56,6,1.21,90.32,56,19,74.4,Adapte,Adapte,Adapte / Adapte
100,101,2015,Ingenieurie,11,6,QROC,0.8314,0.11,0.56,100,98,83,15,1.02,84.69,83,17,83.14,Trop Difficile,Facile,Trop Difficile / Facile
930,101,2016,Ingenieurie,11,6,QROC,0.3209,0.52,0.18,106,58,34,24,1.83,58.62,34,72,32.09,Trop Facile,Difficile,Trop Facile / Difficile
1760,101,2017,Ingenieurie,11,6,QROC,0.9933,0.06,0.59,91,91,90,1,1.0,98.9,90,1,99.33,Trop Facile,Trop Facile,Trop Facile / Trop Facile
2590,101,2018,Ingenieurie,11,6,QROC,0.9512,0.05,0.79,99,94,94,0,1.05,100.0,94,5,95.12,Trop Facile,Trop Facile,Trop Facile / Trop Facile
3420,101,2019,Ingenieurie,11,6,QROC,0.6739,0.34,0.27,116,108,78,30,1.07,72.22,78,38,67.39,Trop Facile,Adapte,Trop Facile / Adapte
4250,101,2020,Ingenieurie,11,6,QROC,0.637,0.46,0.25,103,92,66,26,1.12,71.74,66,37,63.7,Adapte,Adapte,Adapte / Adapte
101,102,2015,Ingenieurie,11,7,QCU,0.6879,0.13,0.46,97,83,67,16,1.17,80.72,67,30,68.79,Difficile,Adapte,Difficile / Adapte
931,102,2016,Ingenieurie,11,7,QCU,0.615,0.01,0.47,93,69,57,12,1.35,82.61,57,36,61.5,Adapte,Adapte,Adapte / Adapte
1761,102,2017,Ingenieurie,11,7,QCU,0.7128,0.02,0.66,75,71,53,18,1.06,74.65,53,22,71.28,Adapte,Adapte,Adapte / Adapte
2591,102,2018,Ingenieurie,11,7,QCU,0.6418,0.09,0.66,74,68,47,21,1.09,69.12,47,27,64.18,Adapte,Adapte,Adapte / Adapte
3421,102,2019,Ingenieurie,11,7,QCU,0.6075,0.28,0.67,78,76,47,29,1.03,61.84,47,31,60.75,Adapte,Adapte,Adapte / Adapte
4251,102,2020,Ingenieurie,11,7,QCU,0.6751,0.18,0.52,94,75,63,12,1.25,84.0,63,31,67.51,Adapte,Adapte,Adapte / Adapte
102,103,2015,Ingenieurie,11,8,QO,0.4129,0.79,0.13,88,63,36,27,1.4,57.14,36,52,41.29,Difficile,Difficile,Difficile / Difficile
932,103,2016,Ingenieurie,11,8,QO,0.6124,0.27,0.28,72,52,44,8,1.38,84.62,44,28,61.24,Trop Facile,Adapte,Trop Facile / Adapte
1762,103,2017,Ingenieurie,11,8,QO,0.7185,0.52,0.22,82,71,59,12,1.15,83.1,59,23,71.85,Adapte,Adapte,Adapte / Adapte
2592,103,2018,Ingenieurie,11,8,QO,0.6258,0.61,0.21,93,67,58,9,1.39,86.57,58,35,62.58,Adapte,Adapte,Adapte / Adapte
3422,103,2019,Ingenieurie,11,8,QO,0.6876,0.25,0.19,77,71,53,18,1.08,74.65,53,24,68.76,Adapte,Adapte,Adapte / Adapte
4252,103,2020,Ingenieurie,11,8,QO,0.6107,0.36,0.27,79,65,48,17,1.22,73.85,48,31,61.07,Adapte,Adapte,Adapte / Adapte
103,104,2015,Ingenieurie,12,1,QCU,0.5723,0.38,0.37,32,31,18,13,1.03,58.06,18,14,57.23,Facile,Difficile,Facile / Difficile
933,104,2016,Ingenieurie,12,1,QCU,0.9855,0.08,0.95,26,26,26,0,1.0,100.0,26,0,98.55,Trop Facile,Trop Facile,Trop Facile / Trop Facile
1763,104,2017,Ingenieurie,12,1,QCU,0.8468,0.19,0.76,24,23,20,3,1.04,86.96,20,4,84.68,Trop Facile,Facile,Trop Facile / Facile
2593,104,2018,Ingenieurie,12,1,QCU,0.7041,0.3,0.43,27,26,19,7,1.04,73.08,19,8,70.41,Trop Facile,Adapte,Trop Facile / Adapte
