,Year,Departement,Module_ID,Module,Chapter_ID,Chapter,Quiz_perChapter,Quizz_ID,Rank_onChapter,Quizz_Type,Slip,Guess,Success_Prct,Success_Attempts,Failure_Attempts,Number_Attempts,UniQ_Learner,Sucessful_Learners,Unsucessful_Learners,Avg_Attempts,Percent_Learners_Success,Predict_Difficulty,Correct_Difficulty,Score,Difficulty_String,Difficulty
2399,2017,Information-Communication,1,Introduction a l'Etude du Langage,3,La Morphologie,14,268,3,QO,0.81,0.11,26.26,20,55,75,53,20,33,1.42,37.74,Difficile,Difficile,0,Meme Difficulte que la Prediction,Pas Adapte
3465,2018,Information-Communication,1,Introduction a l'Etude du Langage,3,La Morphologie,14,268,3,QO,0.5,0.19,48.92,39,41,80,79,39,40,1.01,49.37,Difficile,Moyen,1,Plus Facile que la Prediction,Pas Adapte
4531,2019,Information-Communication,1,Introduction a l'Etude du Langage,3,La Morphologie,14,268,3,QO,0.87,0.09,20.31,15,61,76,62,15,47,1.23,24.19,Difficile,Difficile,0,Meme Difficulte que la Prediction,Pas Adapte
5597,2020,Information-Communication,1,Introduction a l'Etude du Langage,3,La Morphologie,14,268,3,QO,0.53,0.24,38.89,29,45,74,68,29,39,1.09,42.65,Facile,Moyen,-1,Plus Difficile que la Prediction,Pas Adapte
268,2015,Information-Communication,1,Introduction a l'Etude du Langage,3,La Morphologie,14,269,4,QCU,0.11,0.91,84.85,54,10,64,63,54,9,1.02,85.71,Facile,Facile,0,Meme Difficulte que la Prediction,Pas Adapte
1334,2016,Information-Communication,1,Introduction a l'Etude du Langage,3,La Morphologie,14,269,4,QCU,0.19,0.84,88.2,55,7,62,59,55,4,1.05,93.22,Difficile,Facile,2,Beaucoup plus Facile que la Prediction,Pas Adapte
2400,2017,Information-Communication,1,Introduction a l'Etude du Langage,3,La Morphologie,14,269,4,QCM,0.46,0.59,58.49,31,22,53,52,31,21,1.02,59.62,Difficile,Moyen,1,Plus Facile que la Prediction,Pas Adapte
3466,2018,Information-Communication,1,Introduction a l'Etude du Langage,3,La Morphologie,14,269,4,QCM,0.0,0.9,81.18,44,10,54,51,44,7,1.06,86.27,Facile,Facile,0,Meme Difficulte que la Prediction,Pas Adapte
4532,2019,Information-Communication,1,Introduction a l'Etude du Langage,3,La Morphologie,14,269,4,QCM,0.34,0.51,39.16,22,34,56,45,22,23,1.24,48.89,Difficile,Moyen,1,Plus Facile que la Prediction,Pas Adapte
5598,2020,Information-Communication,1,Introduction a l'Etude du Langage,3,La Morphologie,14,269,4,QCM,0.02,0.95,76.96,47,14,61,54,47,7,1.13,87.04,Difficile,Facile,2,Beaucoup plus Facile que la Prediction,Pas Adapte
269,2015,Information-Communication,1,Introduction a l'Etude du Langage,3,La Morphologie,14,270,5,QROC,0.35,0.4,37.27,10,18,28,25,10,15,1.12,40.0,Moyen,Moyen,0,Meme Difficulte que la Prediction,Pas Adapte
1335,2016,Information-Communication,1,Introduction a l'Etude du Langage,3,La Morphologie,14,270,5,QROC,0.17,0.89,73.18,19,7,26,23,19,4,1.13,82.61,Facile,Facile,0,Meme Difficulte que la Prediction,Adapte
2401,2017,Information-Communication,1,Introduction a l'Etude du Langage,3,La Morphologie,14,270,5,QROC,0.13,0.77,73.18,16,6,22,20,16,4,1.1,80.0,Facile,Facile,0,Meme Difficulte que la Prediction,Adapte
3467,2018,Information-Communication,1,Introduction a l'Etude du Langage,3,La Morphologie,14,270,5,QROC,0.16,0.51,73.18,16,6,22,20,16,4,1.1,80.0,Facile,Facile,0,Meme Difficulte que la Prediction,Adapte
4533,2019,Information-Communication,1,Introduction a l'Etude du Langage,3,La Morphologie,14,270,5,QROC,0.13,0.92,73.18,15,6,21,15,15,0,1.4,100.0,Facile,Facile,0,Meme Difficulte que la Prediction,Adapte
5599,2020,Information-Communication,1,Introduction a l'Etude du Langage,3,La Morphologie,14,270,5,QO,0.18,0.73,73.18,16,6,22,19,16,3,1.16,84.21,Facile,Facile,0,Meme Difficulte que la Prediction,Adapte
270,2015,Information-Communication,1,Introduction a l'Etude du Langage,3,La Morphologie,14,271,6,QCU,0.72,0.21,9.72,5,46,51,21,5,16,2.43,23.81,Difficile,Difficile,0,Meme Difficulte que la Prediction,Pas Adapte
1336,2016,Information-Communication,1,Introduction a l'Etude du Langage,3,La Morphologie,14,271,6,QCU,0.06,0.86,78.82,35,9,44,40,35,5,1.1,87.5,Moyen,Facile,1,Plus Facile que la Prediction,Pas Adapte
2402,2017,Information-Communication,1,Introduction a l'Etude du Langage,3,La Morphologie,14,271,6,QCU,0.28,0.47,57.43,24,17,41,32,24,8,1.28,75.0,Moyen,Moyen,0,Meme Difficulte que la Prediction,Pas Adapte
3468,2018,Information-Communication,1,Introduction a l'Etude du Langage,3,La Morphologie,14,271,6,QCU,0.38,0.46,47.02,21,24,45,34,21,13,1.32,61.76,Moyen,Moyen,0,Meme Difficulte que la Prediction,Pas Adapte
4534,2019,Information-Communication,1,Introduction a l'Etude du Langage,3,La Morphologie,14,271,6,QCU,0.04,0.97,70.96,37,15,52,50,37,13,1.04,74.0,Facile,Facile,0,Meme Difficulte que la Prediction,Adapte
5600,2020,Information-Communication,1,Introduction a l'Etude du Langage,3,La Morphologie,14,271,6,QCU,0.1,0.76,70.96,40,16,56,51,40,11,1.1,78.43,Facile,Facile,0,Meme Difficulte que la Prediction,Adapte
271,2015,Information-Communication,1,Introduction a l'Etude du Langage,3,La Morphologie,14,272,7,QCM,0.29,0.41,45.47,20,24,44,32,20,12,1.38,62.5,Facile,Moyen,-1,Plus Difficile que la Prediction,Pas Adapte
1337,2016,Information-Communication,1,Introduction a l'Etude du Langage,3,La Morphologie,14,272,7,QCM,0.78,0.17,24.73,11,35,46,32,11,21,1.44,34.38,Difficile,Difficile,0,Meme Difficulte que la Prediction,Pas Adapte
2403,2017,Information-Communication,1,Introduction a l'Etude du Langage,3,La Morphologie,14,272,7,QCM,0.2,0.81,85.06,40,7,47,45,40,5,1.04,88.89,Facile,Facile,0,Meme Difficulte que la Prediction,Pas Adapte
3469,2018,Information-Communication,1,Introduction a l'Etude du Langage,3,La Morphologie,14,272,7,QCM,0.41,0.58,61.53,30,19,49,40,30,10,1.23,75.0,Facile,Moyen,-1,Plus Difficile que la Prediction,Adapte
4535,2019,Information-Communication,1,Introduction a l'Etude du Langage,3,La Morphologie,14,272,7,QCU,0.28,0.64,61.53,31,19,50,46,31,15,1.09,67.39,Moyen,Moyen,0,Meme Difficulte que la Prediction,Adapte
5601,2020,Information-Communication,1,Introduction a l'Etude du Langage,3,La Morphologie,14,272,7,QCU,0.3,0.59,61.53,30,18,48,47,30,17,1.02,63.83,Moyen,Moyen,0,Meme Difficulte que la Prediction,Adapte
272,2015,Information-Communication,1,Introduction a l'Etude du Langage,3,La Morphologie,14,273,8,QCU,0.37,0.53,62.17,35,22,57,43,35,8,1.33,81.4,Facile,Moyen,-1,Plus Difficile que la Prediction,Adapte
1338,2016,Information-Communication,1,Introduction a l'Etude du Langage,3,La Morphologie,14,273,8,QCU,0.22,0.6,62.17,38,23,61,56,38,18,1.09,67.86,Moyen,Moyen,0,Meme Difficulte que la Prediction,Adapte
2404,2017,Information-Communication,1,Introduction a l'Etude du Langage,3,La Morphologie,14,273,8,QCU,0.37,0.61,62.17,34,20,54,35,34,1,1.54,97.14,Moyen,Moyen,0,Meme Difficulte que la Prediction,Adapte
3470,2018,Information-Communication,1,Introduction a l'Etude du Langage,3,La Morphologie,14,273,8,QCU,0.27,0.7,62.17,31,19,50,39,31,8,1.28,79.49,Moyen,Moyen,0,Meme Difficulte que la Prediction,Adapte
4536,2019,Information-Communication,1,Introduction a l'Etude du Langage,3,La Morphologie,14,273,8,QCM,0.34,0.37,62.17,34,21,55,49,34,15,1.12,69.39,Moyen,Moyen,0,Meme Difficulte que la Prediction,Adapte
5602,2020,Information-Communication,1,Introduction a l'Etude du Langage,3,La Morphologie,14,273,8,QCM,0.38,0.62,62.17,30,18,48,42,30,12,1.14,71.43,Moyen,Moyen,0,Meme Difficulte que la Prediction,Adapte
273,2015,Information-Communication,1,Introduction a l'Etude du Langage,3,La Morphologie,14,274,9,QCM,0.76,0.24,29.33,7,18,25,20,7,13,1.25,35.0,Moyen,Difficile,-1,Plus Difficile que la Prediction,Pas Adapte
1339,2016,Information-Communication,1,Introduction a l'Etude du Langage,3,La Morphologie,14,274,9,QCM,0.15,0.84,69.11,18,8,26,22,18,4,1.18,81.82,Facile,Facile,0,Meme Difficulte que la Prediction,Adapte
2405,2017,Information-Communication,1,Introduction a l'Etude du Langage,3,La Morphologie,14,274,9,QROC,0.12,0.58,69.11,20,9,29,22,20,2,1.32,90.91,Facile,Facile,0,Meme Difficulte que la Prediction,Adapte
3471,2018,Information-Communication,1,Introduction a l'Etude du Langage,3,La Morphologie,14,274,9,QROC,0.19,0.65,69.11,20,9,29,21,20,1,1.38,95.24,Facile,Facile,0,Meme Difficulte que la Prediction,Adapte
4537,2019,Information-Communication,1,Introduction a l'Etude du Langage,3,La Morphologie,14,274,9,QROC,0.2,0.47,69.11,20,9,29,22,20,2,1.32,90.91,Facile,Facile,0,Meme Difficulte que la Prediction,Adapte
5603,2020,Information-Communication,1,Introduction a l'Etude du Langage,3,La Morphologie,14,274,9,QROC,0.04,0.46,69.11,19,8,27,23,19,4,1.17,82.61,Facile,Facile,0,Meme Difficulte que la Prediction,Adapte
274,2015,Information-Communication,1,Introduction a l'Etude du Langage,3,La Morphologie,14,275,10,QCU,0.26,0.42,62.14,39,24,63,46,39,7,1.37,84.78,Moyen,Moyen,0,Meme Difficulte que la Prediction,Adapte
1340,2016,Information-Communication,1,Introduction a l'Etude du Langage,3,La Morphologie,14,275,10,QCU,0.38,0.56,62.14,44,27,71,44,44,0,1.61,100.0,Moyen,Moyen,0,Meme Difficulte que la Prediction,Adapte
2406,2017,Information-Communication,1,Introduction a l'Etude du Langage,3,La Morphologie,14,275,10,QCU,0.34,0.66,62.14,49,30,79,78,49,29,1.01,62.82,Moyen,Moyen,0,Meme Difficulte que la Prediction,Adapte
3472,2018,Information-Communication,1,Introduction a l'Etude du Langage,3,La Morphologie,14,275,10,QCU,0.26,0.55,62.14,47,29,76,48,47,1,1.58,97.92,Moyen,Moyen,0,Meme Difficulte que la Prediction,Adapte
4538,2019,Information-Communication,1,Introduction a l'Etude du Langage,3,La Morphologie,14,275,10,QCU,0.34,0.73,62.14,52,31,83,66,52,14,1.26,78.79,Moyen,Moyen,0,Meme Difficulte que la Prediction,Adapte
5604,2020,Information-Communication,1,Introduction a l'Etude du Langage,3,La Morphologie,14,275,10,QCU,0.22,0.55,62.14,47,28,75,58,47,11,1.29,81.03,Moyen,Moyen,0,Meme Difficulte que la Prediction,Adapte
275,2015,Information-Communication,1,Introduction a l'Etude du Langage,3,La Morphologie,14,276,11,QCM,0.66,0.25,21.09,3,12,15,7,3,4,2.14,42.86,Difficile,Difficile,0,Meme Difficulte que la Prediction,Pas Adapte
1341,2016,Information-Communication,1,Introduction a l'Etude du Langage,3,La Morphologie,14,276,11,QCM,0.08,0.97,72.85,11,4,15,13,11,2,1.15,84.62,Facile,Facile,0,Meme Difficulte que la Prediction,Adapte
2407,2017,Information-Communication,1,Introduction a l'Etude du Langage,3,La Morphologie,14,276,11,QCM,0.02,0.72,72.85,10,4,14,13,10,3,1.08,76.92,Facile,Facile,0,Meme Difficulte que la Prediction,Adapte
3473,2018,Information-Communication,1,Introduction a l'Etude du Langage,3,La Morphologie,14,276,11,QCM,0.01,0.89,72.85,10,4,14,13,10,3,1.08,76.92,Facile,Facile,0,Meme Difficulte que la Prediction,Adapte
4539,2019,Information-Communication,1,Introduction a l'Etude du Langage,3,La Morphologie,14,276,11,QCM,0.03,0.97,72.85,9,4,13,12,9,3,1.08,75.0,Facile,Facile,0,Meme Difficulte que la Prediction,Adapte
5605,2020,Information-Communication,1,Introduction a l'Etude du Langage,3,La Morphologie,14,276,11,QCM,0.1,0.76,72.85,9,4,13,12,9,3,1.08,75.0,Facile,Facile,0,Meme Difficulte que la Prediction,Adapte
276,2015,Information-Communication,1,Introduction a l'Etude du Langage,3,La Morphologie,14,277,12,QCU,0.39,0.49,41.0,13,18,31,23,13,10,1.35,56.52,Moyen,Moyen,0,Meme Difficulte que la Prediction,Pas Adapte
1342,2016,Information-Communication,1,Introduction a l'Etude du Langage,3,La Morphologie,14,277,12,QCU,0.1,0.91,78.41,25,7,32,26,25,1,1.23,96.15,Facile,Facile,0,Meme Difficulte que la Prediction,Pas Adapte
2408,2017,Information-Communication,1,Introduction a l'Etude du Langage,3,La Morphologie,14,277,12,QCU,0.36,0.75,48.67,15,16,31,19,15,4,1.63,78.95,Difficile,Moyen,1,Plus Facile que la Prediction,Pas Adapte
3474,2018,Information-Communication,1,Introduction a l'Etude du Langage,3,La Morphologie,14,277,12,QCU,0.02,0.9,71.65,26,10,36,36,26,10,1.0,72.22,Moyen,Facile,1,Plus Facile que la Prediction,Adapte
4540,2019,Information-Communication,1,Introduction a l'Etude du Langage,3,La Morphologie,14,277,12,QCU,0.17,0.99,71.65,29,12,41,33,29,4,1.24,87.88,Facile,Facile,0,Meme Difficulte que la Prediction,Adapte
5606,2020,Information-Communication,1,Introduction a l'Etude du Langage,3,La Morphologie,14,277,12,QCU,0.16,0.82,71.65,27,11,38,38,27,11,1.0,71.05,Facile,Facile,0,Meme Difficulte que la Prediction,Adapte
277,2015,Information-Communication,1,Introduction a l'Etude du Langage,3,La Morphologie,14,278,13,QCU,0.2,0.78,68.63,40,18,58,48,40,8,1.21,83.33,Difficile,Facile,2,Beaucoup plus Facile que la Prediction,Adapte
1343,2016,Information-Communication,1,Introduction a l'Etude du Langage,3,La Morphologie,14,278,13,QCU,0.16,0.75,68.63,38,18,56,44,38,6,1.27,86.36,Facile,Facile,0,Meme Difficulte que la Prediction,Adapte
2409,2017,Information-Communication,1,Introduction a l'Etude du Langage,3,La Morphologie,14,278,13,QCU,0.17,0.84,68.63,40,19,59,50,40,10,1.18,80.0,Facile,Facile,0,Meme Difficulte que la Prediction,Adapte
3475,2018,Information-Communication,1,Introduction a l'Etude du Langage,3,La Morphologie,14,278,13,QCU,0.14,0.76,68.63,44,20,64,63,44,19,1.02,69.84,Facile,Facile,0,Meme Difficulte que la Prediction,Adapte
4541,2019,Information-Communication,1,Introduction a l'Etude du Langage,3,La Morphologie,14,278,13,QCU,0.15,0.77,68.63,45,20,65,61,45,16,1.07,73.77,Facile,Facile,0,Meme Difficulte que la Prediction,Adapte
5607,2020,Information-Communication,1,Introduction a l'Etude du Langage,3,La Morphologie,14,278,13,QCU,0.08,0.93,68.63,50,23,73,51,50,1,1.43,98.04,Facile,Facile,0,Meme Difficulte que la Prediction,Adapte
278,2015,Information-Communication,1,Introduction a l'Etude du Langage,3,La Morphologie,14,279,14,QROC,0.17,0.77,88.56,40,5,45,40,40,0,1.12,100.0,Facile,Facile,0,Meme Difficulte que la Prediction,Pas Adapte
1344,2016,Information-Communication,1,Introduction a l'Etude du Langage,3,La Morphologie,14,279,14,QROC,0.0,0.63,67.04,27,14,41,38,27,11,1.08,71.05,Facile,Facile,0,Meme Difficulte que la Prediction,Adapte
2410,2017,Information-Communication,1,Introduction a l'Etude du Langage,3,La Morphologie,14,279,14,QO,0.04,0.79,67.04,30,15,45,33,30,3,1.36,90.91,Facile,Facile,0,Meme Difficulte que la Prediction,Adapte
3476,2018,Information-Communication,1,Introduction a l'Etude du Langage,3,La Morphologie,14,279,14,QO,0.15,0.94,67.04,25,13,38,30,25,5,1.27,83.33,Facile,Facile,0,Meme Difficulte que la Prediction,Adapte
4542,2019,Information-Communication,1,Introduction a l'Etude du Langage,3,La Morphologie,14,279,14,QO,0.13,0.94,67.04,22,11,33,29,22,7,1.14,75.86,Facile,Facile,0,Meme Difficulte que la Prediction,Adapte
5608,2020,Information-Communication,1,Introduction a l'Etude du Langage,3,La Morphologie,14,279,14,QO,0.09,0.88,67.04,22,11,33,25,22,3,1.32,88.0,Facile,Facile,0,Meme Difficulte que la Prediction,Adapte
279,2015,Information-Communication,1,Introduction a l'Etude du Langage,4,La Phonetique,8,280,1,QCU,0.39,0.58,42.58,15,20,35,21,15,6,1.67,71.43,Moyen,Moyen,0,Meme Difficulte que la Prediction,Pas Adapte
1345,2016,Information-Communication,1,Introduction a l'Etude du Langage,4,La Phonetique,8,280,1,QCU,0.15,0.97,74.61,24,8,32,29,24,5,1.1,82.76,Difficile,Facile,2,Beaucoup plus Facile que la Prediction,Adapte
2411,2017,Information-Communication,1,Introduction a l'Etude du Langage,4,La Phonetique,8,280,1,QCU,0.06,0.97,74.61,25,9,34,30,25,5,1.13,83.33,Facile,Facile,0,Meme Difficulte que la Prediction,Adapte
3477,2018,Information-Communication,1,Introduction a l'Etude du Langage,4,La Phonetique,8,280,1,QCU,0.04,0.86,74.61,27,9,36,34,27,7,1.06,79.41,Facile,Facile,0,Meme Difficulte que la Prediction,Adapte
4543,2019,Information-Communication,1,Introduction a l'Etude du Langage,4,La Phonetique,8,280,1,QCM,0.03,0.96,74.61,28,9,37,36,28,8,1.03,77.78,Facile,Facile,0,Meme Difficulte que la Prediction,Adapte
5609,2020,Information-Communication,1,Introduction a l'Etude du Langage,4,La Phonetique,8,280,1,QCM,0.17,0.9,74.61,24,8,32,29,24,5,1.1,82.76,Facile,Facile,0,Meme Difficulte que la Prediction,Adapte
280,2015,Information-Communication,1,Introduction a l'Etude du Langage,4,La Phonetique,8,281,2,QCM,0.46,0.38,61.88,41,26,67,49,41,8,1.37,83.67,Moyen,Moyen,0,Meme Difficulte que la Prediction,Adapte
1346,2016,Information-Communication,1,Introduction a l'Etude du Langage,4,La Phonetique,8,281,2,QCM,0.46,0.62,61.88,38,23,61,51,38,13,1.2,74.51,Moyen,Moyen,0,Meme Difficulte que la Prediction,Adapte
2412,2017,Information-Communication,1,Introduction a l'Etude du Langage,4,La Phonetique,8,281,2,QCM,0.35,0.69,61.88,37,22,59,43,37,6,1.37,86.05,Moyen,Moyen,0,Meme Difficulte que la Prediction,Adapte
3478,2018,Information-Communication,1,Introduction a l'Etude du Langage,4,La Phonetique,8,281,2,QCM,0.43,0.49,61.88,35,21,56,53,35,18,1.06,66.04,Moyen,Moyen,0,Meme Difficulte que la Prediction,Adapte
4544,2019,Information-Communication,1,Introduction a l'Etude du Langage,4,La Phonetique,8,281,2,QCM,0.4,0.36,61.88,30,19,49,36,30,6,1.36,83.33,Moyen,Moyen,0,Meme Difficulte que la Prediction,Adapte
5610,2020,Information-Communication,1,Introduction a l'Etude du Langage,4,La Phonetique,8,281,2,QCM,0.47,0.34,61.88,30,18,48,41,30,11,1.17,73.17,Moyen,Moyen,0,Meme Difficulte que la Prediction,Adapte
281,2015,Information-Communication,1,Introduction a l'Etude du Langage,4,La Phonetique,8,282,3,QROC,0.05,0.78,98.58,9,0,9,9,9,0,1.0,100.0,Facile,Facile,0,Meme Difficulte que la Prediction,Pas Adapte
1347,2016,Information-Communication,1,Introduction a l'Etude du Langage,4,La Phonetique,8,282,3,QROC,0.45,0.26,40.34,4,5,9,5,4,1,1.8,80.0,Facile,Moyen,-1,Plus Difficile que la Prediction,Pas Adapte
2413,2017,Information-Communication,1,Introduction a l'Etude du Langage,4,La Phonetique,8,282,3,QROC,0.32,0.37,57.6,5,3,8,7,5,2,1.14,71.43,Facile,Moyen,-1,Plus Difficile que la Prediction,Pas Adapte
3479,2018,Information-Communication,1,Introduction a l'Etude du Langage,4,La Phonetique,8,282,3,QROC,0.8,0.14,1.7,0,9,9,4,0,4,2.25,0.0,Difficile,Difficile,0,Meme Difficulte que la Prediction,Pas Adapte
4545,2019,Information-Communication,1,Introduction a l'Etude du Langage,4,La Phonetique,8,282,3,QROC,0.69,0.14,19.63,2,7,9,6,2,4,1.5,33.33,Difficile,Difficile,0,Meme Difficulte que la Prediction,Pas Adapte
5611,2020,Information-Communication,1,Introduction a l'Etude du Langage,4,La Phonetique,8,282,3,QO,0.89,0.06,0.84,0,8,8,8,0,8,1.0,0.0,Difficile,Difficile,0,Meme Difficulte que la Prediction,Pas Adapte
282,2015,Information-Communication,1,Introduction a l'Etude du Langage,4,La Phonetique,8,283,4,QCM,0.32,0.66,55.72,48,38,86,64,48,16,1.34,75.0,Moyen,Moyen,0,Meme Difficulte que la Prediction,Pas Adapte
1348,2016,Information-Communication,1,Introduction a l'Etude du Langage,4,La Phonetique,8,283,4,QCM,0.15,0.99,85.62,71,12,83,75,71,4,1.11,94.67,Facile,Facile,0,Meme Difficulte que la Prediction,Pas Adapte
2414,2017,Information-Communication,1,Introduction a l'Etude du Langage,4,La Phonetique,8,283,4,QROC,0.86,0.18,20.87,15,56,71,33,15,18,2.15,45.45,Difficile,Difficile,0,Meme Difficulte que la Prediction,Pas Adapte
3480,2018,Information-Communication,1,Introduction a l'Etude du Langage,4,La Phonetique,8,283,4,QROC,0.18,0.92,70.97,53,21,74,54,53,1,1.37,98.15,Moyen,Facile,1,Plus Facile que la Prediction,Adapte
4546,2019,Information-Communication,1,Introduction a l'Etude du Langage,4,La Phonetique,8,283,4,QO,0.01,0.92,70.97,50,21,71,68,50,18,1.04,73.53,Facile,Facile,0,Meme Difficulte que la Prediction,Adapte
5612,2020,Information-Communication,1,Introduction a l'Etude du Langage,4,La Phonetique,8,283,4,QO,0.06,0.62,70.97,57,23,80,57,57,0,1.4,100.0,Facile,Facile,0,Meme Difficulte que la Prediction,Adapte
283,2015,Information-Communication,1,Introduction a l'Etude du Langage,4,La Phonetique,8,284,5,QCM,0.79,0.27,16.92,13,66,79,40,13,27,1.98,32.5,Difficile,Difficile,0,Meme Difficulte que la Prediction,Pas Adapte
1349,2016,Information-Communication,1,Introduction a l'Etude du Langage,4,La Phonetique,8,284,5,QCM,0.58,0.18,34.58,26,49,75,46,26,20,1.63,56.52,Moyen,Difficile,-1,Plus Difficile que la Prediction,Pas Adapte
2415,2017,Information-Communication,1,Introduction a l'Etude du Langage,4,La Phonetique,8,284,5,QCU,0.54,0.28,24.94,17,51,68,48,17,31,1.42,35.42,Difficile,Difficile,0,Meme Difficulte que la Prediction,Pas Adapte
3481,2018,Information-Communication,1,Introduction a l'Etude du Langage,4,La Phonetique,8,284,5,QCU,0.16,0.8,82.59,63,13,76,72,63,9,1.06,87.5,Moyen,Facile,1,Plus Facile que la Prediction,Pas Adapte
4547,2019,Information-Communication,1,Introduction a l'Etude du Langage,4,La Phonetique,8,284,5,QCU,0.53,0.29,27.0,21,57,78,76,21,55,1.03,27.63,Difficile,Difficile,0,Meme Difficulte que la Prediction,Pas Adapte
5613,2020,Information-Communication,1,Introduction a l'Etude du Langage,4,La Phonetique,8,284,5,QCU,0.52,0.37,9.6,7,65,72,69,7,62,1.04,10.14,Difficile,Difficile,0,Meme Difficulte que la Prediction,Pas Adapte
284,2015,Information-Communication,1,Introduction a l'Etude du Langage,4,La Phonetique,8,285,6,QCM,0.29,0.44,59.51,6,4,10,8,6,2,1.25,75.0,Difficile,Moyen,1,Plus Facile que la Prediction,Pas Adapte
1350,2016,Information-Communication,1,Introduction a l'Etude du Langage,4,La Phonetique,8,285,6,QCM,0.57,0.18,28.66,3,9,12,8,3,5,1.5,37.5,Difficile,Difficile,0,Meme Difficulte que la Prediction,Pas Adapte
2416,2017,Information-Communication,1,Introduction a l'Etude du Langage,4,La Phonetique,8,285,6,QCM,0.08,0.72,95.28,12,1,13,12,12,0,1.08,100.0,Facile,Facile,0,Meme Difficulte que la Prediction,Pas Adapte
3482,2018,Information-Communication,1,Introduction a l'Etude du Langage,4,La Phonetique,8,285,6,QCM,0.63,0.28,8.29,1,14,15,5,1,4,3.0,20.0,Difficile,Difficile,0,Meme Difficulte que la Prediction,Pas Adapte
4548,2019,Information-Communication,1,Introduction a l'Etude du Langage,4,La Phonetique,8,285,6,QCM,0.39,0.59,46.18,7,8,15,12,7,5,1.25,58.33,Moyen,Moyen,0,Meme Difficulte que la Prediction,Pas Adapte
5614,2020,Information-Communication,1,Introduction a l'Etude du Langage,4,La Phonetique,8,285,6,QCM,0.54,0.24,18.95,2,11,13,10,2,8,1.3,20.0,Difficile,Difficile,0,Meme Difficulte que la Prediction,Pas Adapte
285,2015,Information-Communication,1,Introduction a l'Etude du Langage,4,La Phonetique,8,286,7,QCM,0.58,0.18,27.54,9,23,32,11,9,2,2.91,81.82,Difficile,Difficile,0,Meme Difficulte que la Prediction,Pas Adapte
1351,2016,Information-Communication,1,Introduction a l'Etude du Langage,4,La Phonetique,8,286,7,QCM,0.42,0.69,39.15,13,21,34,15,13,2,2.27,86.67,Moyen,Moyen,0,Meme Difficulte que la Prediction,Pas Adapte
2417,2017,Information-Communication,1,Introduction a l'Etude du Langage,4,La Phonetique,8,286,7,QCM,0.17,0.99,66.09,24,13,37,36,24,12,1.03,66.67,Facile,Facile,0,Meme Difficulte que la Prediction,Adapte
3483,2018,Information-Communication,1,Introduction a l'Etude du Langage,4,La Phonetique,8,286,7,QCU,0.13,0.93,66.09,25,13,38,26,25,1,1.46,96.15,Facile,Facile,0,Meme Difficulte que la Prediction,Adapte
4549,2019,Information-Communication,1,Introduction a l'Etude du Langage,4,La Phonetique,8,286,7,QCU,0.13,0.86,66.09,22,12,34,28,22,6,1.21,78.57,Facile,Facile,0,Meme Difficulte que la Prediction,Adapte
5615,2020,Information-Communication,1,Introduction a l'Etude du Langage,4,La Phonetique,8,286,7,QCU,0.03,0.77,66.09,20,11,31,20,20,0,1.55,100.0,Facile,Facile,0,Meme Difficulte que la Prediction,Adapte
286,2015,Information-Communication,1,Introduction a l'Etude du Langage,4,La Phonetique,8,287,8,QCU,0.38,0.66,57.57,17,13,30,19,17,2,1.58,89.47,Moyen,Moyen,0,Meme Difficulte que la Prediction,Pas Adapte
1352,2016,Information-Communication,1,Introduction a l'Etude du Langage,4,La Phonetique,8,287,8,QCU,0.3,0.42,56.95,19,14,33,28,19,9,1.18,67.86,Moyen,Moyen,0,Meme Difficulte que la Prediction,Pas Adapte
2418,2017,Information-Communication,1,Introduction a l'Etude du Langage,4,La Phonetique,8,287,8,QCU,0.55,0.25,12.46,4,28,32,23,4,19,1.39,17.39,Difficile,Difficile,0,Meme Difficulte que la Prediction,Pas Adapte
3484,2018,Information-Communication,1,Introduction a l'Etude du Langage,4,La Phonetique,8,287,8,QCU,0.12,0.97,74.47,27,9,36,30,27,3,1.2,90.0,Difficile,Facile,2,Beaucoup plus Facile que la Prediction,Adapte
4550,2019,Information-Communication,1,Introduction a l'Etude du Langage,4,La Phonetique,8,287,8,QCU,0.06,0.95,74.47,28,10,38,30,28,2,1.27,93.33,Facile,Facile,0,Meme Difficulte que la Prediction,Adapte
5616,2020,Information-Communication,1,Introduction a l'Etude du Langage,4,La Phonetique,8,287,8,QCU,0.11,0.95,74.47,31,10,41,36,31,5,1.14,86.11,Facile,Facile,0,Meme Difficulte que la Prediction,Adapte
287,2015,Information-Communication,1,Introduction a l'Etude du Langage,5,La Phonologie,7,288,1,QCM,0.7,0.19,6.67,6,81,87,84,6,78,1.04,7.14,Facile,Difficile,-2,Beaucoup plus Difficile que la Prediction,Pas Adapte
1353,2016,Information-Communication,1,Introduction a l'Etude du Langage,5,La Phonologie,7,288,1,QCM,0.3,0.36,51.25,50,47,97,78,50,28,1.24,64.1,Facile,Moyen,-1,Plus Difficile que la Prediction,Pas Adapte
2419,2017,Information-Communication,1,Introduction a l'Etude du Langage,5,La Phonologie,7,288,1,QCM,0.68,0.17,8.61,9,91,100,37,9,28,2.7,24.32,Difficile,Difficile,0,Meme Difficulte que la Prediction,Pas Adapte
