,Course_ID,Year,Course_Duration,Course_Duration_Digit,Number_Ressources,Number_Video,Number_Quiz,Number_Exam,Basic_Sequence,Advanced_Sequence
7343,145,2020,15,15,8,3,4,1,Vid-Quiz-Quiz-Exam-Quiz-Vid-Quiz-Vid,Quiz1H-Quiz1H-Vid4H-Vid4H-Exam1H-Vid2H-Quiz1H-Quiz1H
2070,145,2015,15,15,10,4,3,3,Vid-Vid-Vid-Quiz-Exam-Exam-Exam-Vid-Quiz-Quiz,Quiz2H-Quiz2H-Exam1H-Vid1H-Vid1H-Exam1H-Vid3H-Quiz2H-Exam1H-Vid1H
3166,145,2016,15,15,11,6,4,1,Vid-Quiz-Quiz-Vid-Vid-Exam-Vid-Vid-Vid-Quiz-Quiz,Vid1H-Vid1H-Quiz2H-Vid2H-Vid1H-Vid1H-Quiz2H-Exam2H-Quiz1H-Vid1H-Quiz1H
5283,145,2018,15,15,11,7,4,0,Vid-Quiz-Vid-Vid-Vid-Vid-Vid-Quiz-Vid-Quiz-Quiz,Quiz1H-Quiz2H-Vid2H-Vid2H-Vid1H-Vid1H-Vid1H-Quiz1H-Quiz1H-Vid2H-Vid1H
144,145,2013,15,13,11,8,2,1,Vid-Vid-Vid-Vid-Quiz-Vid-Quiz-Exam-Vid-Vid-Vid,Vid1H-Vid1H-Quiz1H-Vid1H-Vid1H-Vid1H-Exam2H-Vid1H-Vid1H-Quiz2H-Vid1H
4187,145,2017,15,15,15,7,6,2,Vid-Vid-Vid-Vid-Vid-Quiz-Exam-Vid-Quiz-Quiz-Quiz-Quiz-Quiz-Vid-Exam,Quiz1H-Exam1H-Vid1H-Quiz1H-Exam1H-Quiz1H-Vid1H-Vid1H-Quiz1H-Vid1H-Quiz1H-Vid1H-Quiz1H-Vid1H-Vid1H
2071,146,2015,29,12,10,7,2,1,Vid-Quiz-Vid-Quiz-Exam-Vid-Vid-Vid-Vid-Vid,Vid1H-Vid1H-Vid1H-Vid1H-Vid1H-Exam1H-Vid1H-Quiz2H-Quiz2H-Vid1H
6379,146,2019,29,22,12,5,6,1,Quiz-Quiz-Quiz-Vid-Vid-Quiz-Vid-Quiz-Quiz-Exam-Vid-Vid,Vid1H-Quiz2H-Vid2H-Exam2H-Quiz2H-Quiz2H-Vid3H-Vid3H-Quiz1H-Quiz1H-Vid2H-Quiz1H
3167,146,2016,29,16,10,3,4,3,Vid-Quiz-Quiz-Exam-Quiz-Quiz-Exam-Exam-Vid-Vid,Quiz1H-Vid2H-Quiz1H-Vid3H-Exam1H-Exam1H-Vid3H-Exam1H-Quiz1H-Quiz2H
4188,146,2017,29,18,12,7,4,1,Vid-Vid-Vid-Exam-Quiz-Quiz-Vid-Vid-Quiz-Quiz-Vid-Vid,Vid1H-Vid1H-Vid2H-Vid2H-Quiz2H-Vid1H-Vid1H-Quiz2H-Vid1H-Quiz1H-Quiz2H-Exam2H
145,146,2013,29,11,11,7,4,0,Quiz-Vid-Vid-Vid-Vid-Quiz-Vid-Quiz-Vid-Vid-Quiz,Vid1H-Vid1H-Quiz1H-Quiz1H-Vid1H-Vid1H-Vid1H-Quiz1H-Quiz1H-Vid1H-Vid1H
5284,146,2018,29,20,15,9,5,1,Vid-Quiz-Quiz-Vid-Quiz-Vid-Vid-Exam-Vid-Vid-Vid-Vid-Quiz-Quiz-Vid,Quiz2H-Quiz2H-Quiz2H-Exam1H-Vid1H-Vid1H-Vid1H-Quiz2H-Vid1H-Vid1H-Quiz2H-Vid1H-Vid1H-Vid1H-Vid1H
1159,146,2014,29,11,9,2,4,3,Quiz-Vid-Quiz-Exam-Exam-Vid-Quiz-Exam-Quiz,Quiz1H-Quiz1H-Exam1H-Vid3H-Exam1H-Quiz1H-Quiz1H-Exam1H-Vid1H
7344,146,2020,29,24,20,7,12,1,Quiz-Vid-Vid-Quiz-Vid-Quiz-Vid-Quiz-Quiz-Quiz-Vid-Vid-Quiz-Exam-Quiz-Vid-Quiz-Quiz-Quiz-Quiz,Quiz1H-Quiz1H-Vid2H-Quiz1H-Quiz2H-Quiz1H-Quiz1H-Vid2H-Exam1H-Vid1H-Quiz1H-Quiz1H-Vid1H-Quiz1H-Vid1H-Vid1H-Vid2H-Quiz1H-Quiz1H-Quiz1H
1160,147,2014,22,2,2,1,1,0,Vid-Quiz,Vid1H-Quiz1H
3168,147,2016,22,3,2,1,1,0,Vid-Quiz,Quiz1H-Vid2H
7345,147,2020,22,8,8,3,4,1,Quiz-Vid-Quiz-Quiz-Vid-Vid-Quiz-Exam,Quiz1H-Vid1H-Quiz1H-Vid1H-Quiz1H-Quiz1H-Vid1H-Exam1H
6380,147,2019,22,6,3,1,1,1,Exam-Quiz-Vid,Exam1H-Vid3H-Quiz2H
146,147,2013,22,2,2,1,1,0,Vid-Quiz,Quiz1H-Vid1H
4189,147,2017,22,4,3,1,2,0,Vid-Quiz-Quiz,Vid2H-Quiz1H-Quiz1H
5285,147,2018,22,4,3,1,1,1,Exam-Vid-Quiz,Quiz2H-Exam1H-Vid1H
2072,147,2015,22,3,3,2,1,0,Vid-Quiz-Vid,Vid1H-Quiz1H-Vid1H
2073,148,2015,19,14,11,6,4,1,Vid-Vid-Vid-Vid-Vid-Quiz-Exam-Quiz-Quiz-Quiz-Vid,Exam1H-Vid2H-Quiz1H-Vid2H-Vid2H-Vid1H-Vid1H-Quiz1H-Vid1H-Quiz1H-Quiz1H
1161,148,2014,19,10,6,3,2,1,Vid-Exam-Vid-Quiz-Vid-Quiz,Vid1H-Vid3H-Exam1H-Quiz1H-Quiz2H-Vid2H
5286,148,2018,19,18,15,7,7,1,Quiz-Quiz-Vid-Quiz-Vid-Exam-Vid-Quiz-Vid-Quiz-Vid-Vid-Quiz-Quiz-Vid,Vid1H-Vid1H-Vid1H-Quiz1H-Quiz2H-Vid1H-Vid1H-Quiz1H-Vid1H-Quiz2H-Quiz1H-Quiz2H-Exam1H-Vid1H-Quiz1H
7346,148,2020,19,19,12,5,6,1,Quiz-Quiz-Quiz-Vid-Vid-Vid-Vid-Exam-Vid-Quiz-Quiz-Quiz,Vid1H-Vid1H-Quiz1H-Quiz2H-Exam2H-Vid1H-Quiz2H-Quiz1H-Vid1H-Quiz2H-Vid4H-Quiz1H
147,148,2013,19,10,10,7,3,0,Vid-Quiz-Vid-Vid-Quiz-Vid-Vid-Vid-Quiz-Vid,Quiz1H-Vid1H-Vid1H-Vid1H-Vid1H-Quiz1H-Vid1H-Vid1H-Vid1H-Quiz1H
3169,148,2016,19,17,14,5,7,2,Vid-Vid-Quiz-Vid-Exam-Exam-Quiz-Quiz-Vid-Quiz-Quiz-Quiz-Vid-Quiz,Vid1H-Quiz1H-Vid1H-Quiz1H-Quiz1H-Exam1H-Vid3H-Quiz1H-Quiz1H-Vid1H-Quiz2H-Quiz1H-Vid1H-Exam1H
6381,148,2019,19,18,9,4,5,0,Vid-Quiz-Vid-Quiz-Quiz-Quiz-Quiz-Vid-Vid,Vid4H-Vid1H-Quiz2H-Vid2H-Quiz2H-Quiz1H-Quiz1H-Quiz1H-Vid4H
4190,148,2017,19,18,10,4,5,1,Vid-Quiz-Quiz-Quiz-Vid-Vid-Vid-Quiz-Quiz-Exam,Vid2H-Quiz2H-Vid3H-Quiz1H-Vid3H-Quiz1H-Quiz1H-Exam2H-Vid2H-Quiz1H
4191,149,2017,32,32,27,10,14,3,Vid-Vid-Quiz-Vid-Quiz-Quiz-Quiz-Exam-Vid-Quiz-Quiz-Quiz-Vid-Vid-Quiz-Quiz-Vid-Quiz-Exam-Quiz-Vid-Quiz-Quiz-Vid-Exam-Quiz-Vid,Quiz1H-Quiz1H-Quiz1H-Vid1H-Exam1H-Quiz1H-Vid1H-Vid1H-Quiz1H-Quiz1H-Quiz1H-Vid1H-Quiz1H-Quiz2H-Vid1H-Vid1H-Vid1H-Quiz1H-Quiz2H-Vid1H-Quiz1H-Exam1H-Quiz1H-Exam1H-Vid1H-Quiz1H-Vid4H
2074,149,2015,32,24,14,3,10,1,Quiz-Quiz-Quiz-Quiz-Vid-Quiz-Quiz-Quiz-Exam-Vid-Quiz-Quiz-Vid-Quiz,Exam3H-Quiz1H-Quiz1H-Quiz1H-Vid4H-Quiz1H-Quiz1H-Vid4H-Vid2H-Quiz2H-Quiz1H-Quiz1H-Quiz1H-Quiz1H
7347,149,2020,32,32,28,14,14,0,Vid-Vid-Vid-Quiz-Quiz-Quiz-Vid-Quiz-Vid-Vid-Vid-Vid-Vid-Vid-Quiz-Quiz-Quiz-Vid-Vid-Vid-Vid-Quiz-Quiz-Quiz-Quiz-Quiz-Quiz-Quiz,Quiz1H-Quiz2H-Vid1H-Quiz1H-Vid1H-Quiz1H-Quiz2H-Vid1H-Quiz1H-Vid1H-Vid1H-Vid1H-Quiz1H-Quiz1H-Quiz1H-Vid1H-Quiz1H-Quiz2H-Vid1H-Vid1H-Quiz1H-Vid1H-Vid1H-Vid1H-Quiz1H-Vid2H-Quiz1H-Vid1H
1162,149,2014,32,20,12,2,8,2,Quiz-Quiz-Quiz-Vid-Exam-Quiz-Quiz-Vid-Quiz-Quiz-Exam-Quiz,Quiz1H-Quiz2H-Quiz1H-Exam1H-Quiz1H-Exam1H-Quiz1H-Vid4H-Quiz2H-Vid4H-Quiz1H-Quiz1H
148,149,2013,32,13,8,4,3,1,Quiz-Quiz-Quiz-Vid-Vid-Vid-Exam-Vid,Quiz1H-Quiz2H-Vid1H-Vid3H-Exam1H-Vid1H-Vid3H-Quiz1H
3170,149,2016,32,26,15,6,8,1,Quiz-Vid-Vid-Vid-Quiz-Quiz-Vid-Exam-Quiz-Quiz-Vid-Quiz-Vid-Quiz-Quiz,Vid1H-Vid4H-Quiz1H-Quiz1H-Quiz1H-Vid4H-Quiz1H-Quiz1H-Quiz1H-Vid3H-Vid3H-Quiz1H-Vid1H-Quiz1H-Exam2H
6382,149,2019,32,32,12,7,4,1,Vid-Vid-Exam-Quiz-Vid-Vid-Quiz-Vid-Vid-Quiz-Quiz-Vid,Quiz2H-Quiz2H-Vid3H-Vid3H-Quiz2H-Vid3H-Vid3H-Vid3H-Quiz1H-Vid3H-Exam3H-Vid4H
5287,149,2018,32,32,28,11,16,1,Vid-Vid-Quiz-Quiz-Quiz-Quiz-Quiz-Vid-Vid-Quiz-Vid-Quiz-Quiz-Quiz-Quiz-Vid-Exam-Quiz-Quiz-Vid-Vid-Vid-Vid-Quiz-Quiz-Quiz-Quiz-Vid,Vid1H-Quiz1H-Quiz1H-Quiz1H-Quiz1H-Vid1H-Quiz1H-Quiz1H-Vid1H-Quiz1H-Quiz1H-Quiz1H-Quiz1H-Vid1H-Vid1H-Quiz1H-Quiz1H-Quiz1H-Vid1H-Vid1H-Vid1H-Exam3H-Vid3H-Vid1H-Vid1H-Quiz1H-Quiz1H-Quiz1H
7348,150,2020,33,33,29,11,17,1,Vid-Vid-Vid-Quiz-Quiz-Quiz-Vid-Quiz-Quiz-Vid-Quiz-Quiz-Vid-Quiz-Quiz-Quiz-Quiz-Exam-Vid-Quiz-Quiz-Quiz-Vid-Quiz-Quiz-Vid-Vid-Quiz-Vid,Quiz2H-Exam1H-Vid1H-Vid1H-Quiz1H-Vid2H-Quiz1H-Quiz2H-Quiz1H-Quiz2H-Vid1H-Quiz1H-Vid1H-Quiz1H-Quiz1H-Vid1H-Quiz1H-Quiz1H-Vid1H-Quiz1H-Vid1H-Vid1H-Quiz1H-Quiz1H-Quiz1H-Vid1H-Quiz1H-Quiz1H-Vid1H
3171,150,2016,33,31,24,8,15,1,Vid-Quiz-Vid-Quiz-Quiz-Quiz-Quiz-Vid-Quiz-Quiz-Quiz-Vid-Vid-Vid-Quiz-Vid-Exam-Quiz-Quiz-Quiz-Quiz-Quiz-Quiz-Vid,Quiz1H-Vid1H-Quiz1H-Vid2H-Quiz1H-Quiz1H-Quiz1H-Quiz1H-Exam3H-Quiz1H-Vid1H-Vid2H-Vid1H-Vid1H-Quiz1H-Vid2H-Quiz1H-Quiz1H-Quiz1H-Quiz1H-Quiz1H-Vid3H-Quiz1H-Quiz1H
2075,150,2015,33,31,18,11,4,3,Quiz-Exam-Exam-Vid-Vid-Vid-Quiz-Exam-Vid-Quiz-Vid-Vid-Vid-Vid-Vid-Quiz-Vid-Vid,Exam1H-Vid2H-Quiz2H-Vid2H-Vid2H-Exam1H-Vid2H-Vid2H-Vid2H-Vid2H-Quiz2H-Vid2H-Exam1H-Quiz2H-Vid2H-Vid2H-Vid1H-Quiz1H
4192,150,2017,33,32,15,8,6,1,Vid-Vid-Quiz-Quiz-Quiz-Vid-Vid-Vid-Vid-Quiz-Quiz-Exam-Vid-Vid-Quiz,Quiz1H-Vid4H-Quiz2H-Vid3H-Quiz1H-Quiz2H-Vid2H-Quiz1H-Vid4H-Exam1H-Vid3H-Vid4H-Vid2H-Quiz1H-Vid1H
6383,150,2019,33,33,23,9,13,1,Vid-Vid-Quiz-Quiz-Quiz-Quiz-Vid-Vid-Quiz-Quiz-Quiz-Vid-Quiz-Quiz-Quiz-Exam-Vid-Vid-Quiz-Vid-Quiz-Quiz-Vid,Quiz1H-Vid1H-Quiz1H-Quiz1H-Vid1H-Quiz2H-Vid1H-Quiz2H-Exam2H-Quiz2H-Vid1H-Quiz2H-Vid1H-Vid1H-Quiz1H-Vid3H-Quiz2H-Vid1H-Quiz2H-Quiz2H-Vid1H-Quiz1H-Quiz1H
149,150,2013,33,30,28,21,5,2,Vid-Quiz-Vid-Exam-Vid-Exam-Vid-Vid-Vid-Vid-Vid-Quiz-Vid-Vid-Quiz-Quiz-Vid-Vid-Vid-Vid-Vid-Vid-Vid-Vid-Vid-Vid-Vid-Quiz,Vid1H-Vid1H-Quiz1H-Vid1H-Vid1H-Exam1H-Vid1H-Quiz1H-Quiz1H-Vid1H-Vid1H-Vid1H-Vid1H-Vid1H-Exam2H-Vid1H-Vid1H-Vid1H-Vid2H-Vid1H-Vid1H-Vid1H-Vid1H-Vid1H-Quiz1H-Vid1H-Quiz1H-Vid1H
1163,150,2014,33,30,21,5,14,2,Quiz-Quiz-Quiz-Quiz-Vid-Vid-Exam-Quiz-Quiz-Quiz-Quiz-Quiz-Quiz-Quiz-Exam-Vid-Quiz-Quiz-Vid-Vid-Quiz,Quiz1H-Quiz1H-Exam2H-Vid1H-Quiz1H-Quiz1H-Vid2H-Vid2H-Quiz2H-Vid3H-Quiz1H-Quiz1H-Quiz1H-Quiz2H-Quiz1H-Quiz1H-Exam1H-Quiz1H-Quiz1H-Quiz2H-Vid2H
5288,150,2018,33,33,22,7,14,1,Quiz-Quiz-Quiz-Quiz-Vid-Quiz-Quiz-Quiz-Exam-Vid-Vid-Quiz-Quiz-Quiz-Vid-Quiz-Quiz-Vid-Vid-Vid-Quiz-Quiz,Vid2H-Vid2H-Quiz1H-Vid2H-Quiz1H-Quiz1H-Exam3H-Quiz1H-Quiz1H-Quiz2H-Quiz1H-Quiz1H-Quiz1H-Quiz1H-Quiz1H-Quiz2H-Vid2H-Vid2H-Quiz2H-Quiz2H-Vid1H-Vid1H
5289,151,2018,16,15,10,7,2,1,Vid-Vid-Vid-Vid-Quiz-Exam-Vid-Vid-Quiz-Vid,Vid1H-Quiz2H-Vid1H-Vid1H-Vid2H-Vid1H-Exam1H-Quiz1H-Vid2H-Vid3H
4193,151,2017,16,10,8,3,4,1,Quiz-Quiz-Exam-Vid-Quiz-Vid-Vid-Quiz,Vid2H-Quiz1H-Quiz1H-Quiz1H-Vid1H-Vid2H-Exam1H-Quiz1H
2076,151,2015,16,7,4,1,3,0,Quiz-Vid-Quiz-Quiz,Quiz1H-Quiz1H-Vid4H-Quiz1H
150,151,2013,16,4,4,2,2,0,Quiz-Vid-Vid-Quiz,Quiz1H-Quiz1H-Vid1H-Vid1H
3172,151,2016,16,10,9,7,1,1,Vid-Vid-Vid-Vid-Vid-Vid-Quiz-Exam-Vid,Vid1H-Vid1H-Quiz2H-Vid1H-Vid1H-Vid1H-Vid1H-Exam1H-Vid1H
7349,151,2020,16,15,9,1,7,1,Vid-Quiz-Quiz-Quiz-Exam-Quiz-Quiz-Quiz-Quiz,Quiz1H-Exam3H-Quiz1H-Vid4H-Quiz1H-Quiz1H-Quiz1H-Quiz2H-Quiz1H
1164,151,2014,16,5,4,2,1,1,Vid-Vid-Exam-Quiz,Quiz2H-Vid1H-Vid1H-Exam1H
6384,151,2019,16,15,10,5,3,2,Exam-Exam-Quiz-Vid-Quiz-Vid-Vid-Vid-Vid-Quiz,Vid3H-Exam1H-Quiz1H-Vid2H-Vid1H-Quiz1H-Vid3H-Quiz1H-Vid1H-Exam1H
1165,152,2014,6,1,1,0,1,0,Quiz,Quiz1H
151,152,2013,6,0,0,0,0,0,,
6385,152,2019,6,2,2,1,1,0,Vid-Quiz,Quiz1H-Vid1H
2077,152,2015,6,1,1,0,1,0,Quiz,Quiz1H
5290,152,2018,6,2,2,1,1,0,Quiz-Vid,Quiz1H-Vid1H
4194,152,2017,6,1,1,0,1,0,Quiz,Quiz1H
7350,152,2020,6,3,3,2,1,0,Quiz-Vid-Vid,Vid1H-Vid1H-Quiz1H
3173,152,2016,6,1,1,0,1,0,Quiz,Quiz1H
3174,153,2016,31,29,24,12,12,0,Quiz-Vid-Quiz-Vid-Vid-Quiz-Quiz-Vid-Vid-Vid-Quiz-Quiz-Vid-Quiz-Quiz-Quiz-Quiz-Vid-Vid-Vid-Vid-Quiz-Quiz-Vid,Quiz1H-Quiz1H-Quiz1H-Quiz1H-Vid1H-Vid1H-Vid1H-Quiz1H-Quiz2H-Quiz1H-Quiz1H-Vid1H-Quiz1H-Vid1H-Vid1H-Quiz1H-Quiz1H-Vid1H-Vid1H-Vid3H-Vid1H-Vid1H-Vid3H-Quiz1H
6386,153,2019,31,31,12,6,4,2,Quiz-Vid-Quiz-Vid-Vid-Exam-Vid-Quiz-Exam-Vid-Quiz-Vid,Vid4H-Quiz2H-Vid4H-Exam1H-Vid4H-Exam2H-Quiz2H-Vid4H-Quiz1H-Vid1H-Vid4H-Quiz2H
5291,153,2018,31,31,26,12,13,1,Vid-Quiz-Quiz-Quiz-Vid-Quiz-Vid-Quiz-Vid-Vid-Quiz-Exam-Quiz-Quiz-Quiz-Vid-Quiz-Vid-Vid-Vid-Vid-Quiz-Quiz-Quiz-Vid-Vid,Quiz2H-Quiz1H-Vid1H-Quiz1H-Vid1H-Vid1H-Vid1H-Quiz1H-Vid1H-Vid1H-Quiz1H-Quiz1H-Quiz2H-Vid1H-Quiz1H-Exam2H-Quiz2H-Vid1H-Quiz1H-Vid1H-Vid1H-Quiz1H-Quiz1H-Quiz1H-Vid1H-Vid2H
4195,153,2017,31,31,25,6,15,4,Quiz-Exam-Exam-Vid-Quiz-Exam-Quiz-Quiz-Exam-Vid-Vid-Quiz-Vid-Quiz-Quiz-Vid-Quiz-Quiz-Vid-Quiz-Quiz-Quiz-Quiz-Quiz-Quiz,Vid1H-Quiz1H-Vid3H-Quiz1H-Quiz1H-Vid1H-Quiz1H-Exam1H-Exam1H-Quiz2H-Vid1H-Quiz1H-Quiz1H-Vid1H-Quiz1H-Exam1H-Quiz1H-Quiz1H-Vid2H-Quiz1H-Quiz2H-Quiz1H-Quiz2H-Quiz1H-Exam1H
1166,153,2014,31,28,12,6,5,1,Quiz-Vid-Quiz-Vid-Vid-Vid-Quiz-Vid-Quiz-Vid-Quiz-Exam,Quiz2H-Vid4H-Quiz2H-Vid1H-Quiz2H-Vid1H-Vid4H-Exam3H-Vid3H-Quiz1H-Quiz2H-Vid3H
152,153,2013,31,27,16,7,8,1,Quiz-Vid-Vid-Quiz-Quiz-Exam-Vid-Quiz-Quiz-Quiz-Vid-Vid-Quiz-Quiz-Vid-Vid,Vid1H-Exam1H-Vid1H-Quiz2H-Quiz2H-Vid1H-Quiz1H-Vid1H-Quiz2H-Quiz1H-Vid4H-Quiz1H-Vid4H-Quiz2H-Vid2H-Quiz1H
2078,153,2015,31,28,18,7,9,2,Vid-Vid-Vid-Vid-Exam-Quiz-Vid-Quiz-Quiz-Quiz-Quiz-Quiz-Quiz-Exam-Vid-Vid-Quiz-Quiz,Vid1H-Vid1H-Vid3H-Exam1H-Exam1H-Quiz2H-Quiz2H-Quiz2H-Quiz2H-Quiz2H-Vid1H-Vid1H-Quiz1H-Quiz2H-Quiz2H-Vid1H-Vid1H-Quiz2H
7351,153,2020,31,31,25,16,8,1,Vid-Quiz-Vid-Vid-Vid-Vid-Quiz-Vid-Vid-Vid-Quiz-Vid-Vid-Vid-Quiz-Vid-Exam-Quiz-Quiz-Vid-Vid-Quiz-Vid-Quiz-Vid,Quiz1H-Quiz2H-Quiz2H-Quiz2H-Vid1H-Vid1H-Quiz2H-Vid1H-Vid1H-Vid1H-Vid1H-Exam1H-Vid1H-Vid1H-Vid1H-Vid1H-Vid1H-Vid1H-Vid1H-Quiz2H-Quiz2H-Quiz1H-Vid1H-Vid1H-Vid1H
6387,154,2019,32,12,9,4,4,1,Quiz-Quiz-Quiz-Vid-Quiz-Vid-Vid-Vid-Exam,Exam2H-Quiz1H-Vid1H-Quiz1H-Quiz1H-Vid1H-Vid1H-Quiz2H-Vid2H
2079,154,2015,32,6,5,3,1,1,Vid-Vid-Quiz-Vid-Exam,Exam1H-Quiz2H-Vid1H-Vid1H-Vid1H
4196,154,2017,32,9,7,2,4,1,Exam-Quiz-Vid-Vid-Quiz-Quiz-Quiz,Quiz1H-Quiz1H-Quiz1H-Vid1H-Vid3H-Quiz1H-Exam1H
153,154,2013,32,3,2,1,1,0,Vid-Quiz,Vid2H-Quiz1H
5292,154,2018,32,12,9,4,4,1,Vid-Quiz-Quiz-Exam-Vid-Quiz-Quiz-Vid-Vid,Vid1H-Quiz1H-Vid2H-Vid1H-Quiz1H-Quiz2H-Quiz2H-Vid1H-Exam1H
7352,154,2020,32,17,15,6,6,3,Vid-Quiz-Vid-Vid-Vid-Quiz-Vid-Quiz-Vid-Exam-Quiz-Exam-Quiz-Quiz-Exam,Vid1H-Quiz1H-Exam1H-Vid1H-Quiz1H-Quiz1H-Vid1H-Vid1H-Vid1H-Exam1H-Exam1H-Quiz2H-Quiz1H-Quiz2H-Vid1H
3175,154,2016,32,6,5,2,2,1,Exam-Vid-Vid-Quiz-Quiz,Vid2H-Quiz1H-Exam1H-Vid1H-Quiz1H
1167,154,2014,32,5,3,1,1,1,Exam-Quiz-Vid,Vid2H-Quiz2H-Exam1H
5293,155,2018,27,27,19,13,5,1,Vid-Vid-Quiz-Quiz-Vid-Vid-Quiz-Quiz-Vid-Vid-Exam-Quiz-Vid-Vid-Vid-Vid-Vid-Vid-Vid,Vid1H-Vid1H-Vid1H-Vid1H-Vid3H-Vid1H-Vid1H-Vid2H-Quiz2H-Vid2H-Vid1H-Vid1H-Quiz1H-Exam1H-Vid1H-Vid2H-Quiz1H-Quiz2H-Quiz2H
6388,155,2019,27,27,23,5,14,4,Exam-Quiz-Exam-Quiz-Vid-Quiz-Quiz-Quiz-Vid-Vid-Quiz-Vid-Vid-Exam-Quiz-Quiz-Exam-Quiz-Quiz-Quiz-Quiz-Quiz-Quiz,Quiz1H-Quiz2H-Quiz1H-Quiz1H-Quiz1H-Vid1H-Vid1H-Quiz1H-Exam1H-Exam1H-Exam1H-Quiz1H-Quiz1H-Quiz2H-Exam1H-Vid1H-Quiz1H-Quiz1H-Quiz1H-Quiz1H-Quiz1H-Vid3H-Vid1H
7353,155,2020,27,27,17,4,11,2,Quiz-Quiz-Exam-Quiz-Vid-Vid-Vid-Quiz-Quiz-Exam-Quiz-Vid-Quiz-Quiz-Quiz-Quiz-Quiz,Quiz1H-Vid4H-Quiz1H-Quiz1H-Quiz1H-Quiz1H-Quiz1H-Quiz1H-Quiz1H-Quiz1H-Exam1H-Exam2H-Vid2H-Quiz1H-Vid4H-Quiz1H-Vid3H
3176,155,2016,27,27,22,12,8,2,Vid-Quiz-Vid-Vid-Vid-Vid-Vid-Vid-Exam-Quiz-Vid-Quiz-Vid-Quiz-Quiz-Vid-Quiz-Quiz-Quiz-Exam-Vid-Vid,Vid1H-Vid1H-Vid1H-Quiz1H-Quiz1H-Quiz2H-Vid1H-Quiz1H-Vid1H-Quiz2H-Vid1H-Quiz1H-Vid1H-Vid1H-Quiz2H-Vid1H-Vid1H-Exam1H-Vid3H-Exam1H-Vid1H-Quiz1H
1168,155,2014,27,19,11,8,3,0,Vid-Vid-Quiz-Vid-Vid-Quiz-Vid-Vid-Vid-Quiz-Vid,Vid2H-Quiz2H-Quiz2H-Vid2H-Vid1H-Vid1H-Vid1H-Vid2H-Vid2H-Vid2H-Quiz2H
2080,155,2015,27,26,18,3,12,3,Quiz-Quiz-Quiz-Vid-Exam-Quiz-Exam-Vid-Quiz-Quiz-Quiz-Quiz-Exam-Quiz-Quiz-Quiz-Quiz-Vid,Quiz1H-Quiz2H-Quiz1H-Quiz1H-Quiz1H-Exam1H-Vid4H-Vid2H-Quiz1H-Vid2H-Quiz1H-Quiz1H-Exam1H-Quiz2H-Quiz2H-Quiz1H-Exam1H-Quiz1H
4197,155,2017,27,27,12,5,6,1,Quiz-Vid-Vid-Quiz-Quiz-Quiz-Quiz-Vid-Quiz-Exam-Vid-Vid,Quiz1H-Quiz1H-Vid4H-Quiz1H-Exam3H-Quiz1H-Vid4H-Quiz2H-Quiz1H-Vid3H-Vid3H-Vid3H
154,155,2013,27,15,10,1,6,3,Quiz-Exam-Quiz-Quiz-Vid-Quiz-Quiz-Quiz-Exam-Exam,Exam1H-Quiz1H-Quiz2H-Vid4H-Exam1H-Quiz2H-Quiz1H-Quiz1H-Quiz1H-Exam1H
1169,156,2014,30,12,9,2,6,1,Quiz-Quiz-Exam-Quiz-Quiz-Vid-Quiz-Vid-Quiz,Quiz1H-Quiz1H-Exam2H-Quiz1H-Quiz1H-Quiz1H-Vid1H-Quiz1H-Vid3H
3177,156,2016,30,13,10,2,5,3,Quiz-Exam-Quiz-Vid-Quiz-Quiz-Exam-Exam-Quiz-Vid,Exam1H-Exam1H-Quiz1H-Quiz1H-Quiz1H-Vid1H-Quiz1H-Quiz1H-Vid4H-Exam1H
4198,156,2017,30,15,8,2,5,1,Vid-Quiz-Quiz-Vid-Exam-Quiz-Quiz-Quiz,Exam1H-Vid4H-Quiz2H-Vid2H-Quiz2H-Quiz2H-Quiz1H-Quiz1H
2081,156,2015,30,12,8,3,3,2,Quiz-Quiz-Exam-Vid-Vid-Vid-Quiz-Exam,Exam1H-Quiz1H-Exam1H-Quiz2H-Quiz2H-Vid2H-Vid2H-Vid1H
7354,156,2020,30,27,18,9,9,0,Vid-Quiz-Quiz-Vid-Vid-Vid-Vid-Vid-Quiz-Quiz-Quiz-Quiz-Quiz-Vid-Vid-Quiz-Quiz-Vid,Quiz2H-Quiz1H-Quiz1H-Vid4H-Vid1H-Quiz1H-Vid3H-Quiz2H-Vid1H-Quiz1H-Vid1H-Vid1H-Vid1H-Quiz2H-Vid1H-Quiz1H-Vid1H-Quiz2H
155,156,2013,30,10,7,4,2,1,Vid-Exam-Vid-Vid-Quiz-Quiz-Vid,Vid3H-Vid1H-Vid1H-Quiz1H-Vid2H-Exam1H-Quiz1H
6389,156,2019,30,21,14,6,7,1,Vid-Quiz-Vid-Vid-Vid-Vid-Quiz-Quiz-Quiz-Exam-Vid-Quiz-Quiz-Quiz,Quiz2H-Vid4H-Vid2H-Quiz1H-Exam1H-Quiz1H-Quiz1H-Quiz1H-Quiz1H-Vid2H-Quiz2H-Vid1H-Vid1H-Vid1H
