,Year,Course_ID,Course_Duration,Course_Ressources,Course_Ress_Digit,Course_Ress_inClass,Number_Video,Number_QCM,Number_Test,Number_Lecture,Number_Exercise,Number_Exam
5157,2018,238,17,16,12,4,7,4,1,3,0,1
6141,2019,238,17,16,13,3,8,4,1,2,0,1
7125,2020,238,17,16,14,2,9,4,1,1,0,1
238,2013,239,5,5,1,4,1,0,0,1,2,1
1222,2014,239,5,5,1,4,1,0,0,1,2,1
2206,2015,239,5,5,1,4,1,0,0,1,2,1
3190,2016,239,5,5,1,4,1,0,0,1,2,1
4174,2017,239,5,5,1,4,1,0,0,1,2,1
5158,2018,239,5,5,1,4,1,0,0,1,2,1
6142,2019,239,5,5,2,3,1,1,0,1,1,1
7126,2020,239,5,5,2,3,1,1,0,1,1,1
239,2013,240,25,14,1,13,1,0,0,9,4,0
1223,2014,240,25,14,1,13,1,0,0,9,4,0
2207,2015,240,25,14,2,12,1,1,0,9,3,0
3191,2016,240,25,14,2,12,1,1,0,9,3,0
4175,2017,240,25,14,2,12,1,1,0,9,3,0
5159,2018,240,25,14,2,12,1,1,0,9,3,0
6143,2019,240,25,14,2,12,1,1,0,9,3,0
7127,2020,240,25,14,2,12,1,1,0,9,3,0
240,2013,241,8,6,3,3,1,2,0,1,1,1
1224,2014,241,8,6,3,3,1,2,0,1,1,1
2208,2015,241,8,6,4,2,1,3,0,1,0,1
3192,2016,241,8,6,4,2,1,3,0,1,0,1
4176,2017,241,8,6,5,1,2,3,0,0,0,1
5160,2018,241,8,6,5,1,2,3,0,0,0,1
6144,2019,241,8,6,5,1,2,3,0,0,0,1
7128,2020,241,8,6,6,0,2,3,1,0,0,0
241,2013,242,23,14,5,9,1,3,1,6,2,1
1225,2014,242,23,14,5,9,1,3,1,6,2,1
2209,2015,242,23,14,6,8,2,3,1,5,2,1
3193,2016,242,23,14,7,7,3,3,1,4,2,1
4177,2017,242,23,14,7,7,3,3,1,4,2,1
5161,2018,242,23,14,8,6,3,4,1,4,1,1
6145,2019,242,23,14,8,6,3,4,1,4,1,1
7129,2020,242,23,14,9,5,3,5,1,4,0,1
242,2013,243,37,22,5,17,3,1,1,11,6,0
1226,2014,243,37,22,6,16,4,1,1,10,6,0
2210,2015,243,37,22,7,15,4,2,1,10,5,0
3194,2016,243,37,22,9,13,5,3,1,9,4,0
4178,2017,243,37,22,10,12,6,3,1,8,4,0
5162,2018,243,37,22,12,10,6,5,1,8,2,0
6146,2019,243,37,22,14,8,7,6,1,7,1,0
7130,2020,243,37,22,17,5,10,6,1,4,1,0
243,2013,244,28,23,11,12,8,2,1,8,4,0
1227,2014,244,28,23,12,11,8,3,1,8,3,0
2211,2015,244,28,23,13,10,9,3,1,7,3,0
3195,2016,244,28,23,16,7,9,6,1,7,0,0
4179,2017,244,28,23,20,3,13,6,1,3,0,0
5163,2018,244,28,23,23,0,16,6,1,0,0,0
6147,2019,244,28,23,23,0,16,6,1,0,0,0
7131,2020,244,28,23,23,0,16,6,1,0,0,0
244,2013,245,7,4,1,3,0,1,0,2,1,0
1228,2014,245,7,4,1,3,0,1,0,2,1,0
2212,2015,245,7,4,1,3,0,1,0,2,1,0
3196,2016,245,7,4,1,3,0,1,0,2,1,0
4180,2017,245,7,4,1,3,0,1,0,2,1,0
5164,2018,245,7,4,1,3,0,1,0,2,1,0
6148,2019,245,7,4,1,3,0,1,0,2,1,0
7132,2020,245,7,4,1,3,0,1,0,2,1,0
245,2013,246,9,4,1,3,0,1,0,2,1,0
1229,2014,246,9,4,1,3,0,1,0,2,1,0
2213,2015,246,9,4,1,3,0,1,0,2,1,0
3197,2016,246,9,4,1,3,0,1,0,2,1,0
4181,2017,246,9,4,1,3,0,1,0,2,1,0
5165,2018,246,9,4,1,3,0,1,0,2,1,0
6149,2019,246,9,4,2,2,0,2,0,2,0,0
7133,2020,246,9,4,2,2,0,2,0,2,0,0
246,2013,247,33,33,2,31,1,1,0,21,10,0
1230,2014,247,33,33,3,30,2,1,0,20,10,0
2214,2015,247,33,33,3,30,2,1,0,20,10,0
3198,2016,247,33,33,3,30,2,1,0,20,10,0
4182,2017,247,33,33,3,30,2,1,0,20,10,0
5166,2018,247,33,33,3,30,2,1,0,20,10,0
6150,2019,247,33,33,4,29,3,1,0,19,10,0
7134,2020,247,33,33,4,29,3,1,0,19,10,0
247,2013,248,11,9,5,4,3,2,0,3,1,0
1231,2014,248,11,9,6,3,4,2,0,2,1,0
2215,2015,248,11,9,6,3,4,2,0,2,1,0
3199,2016,248,11,9,6,3,4,2,0,2,1,0
4183,2017,248,11,9,7,2,4,3,0,2,0,0
5167,2018,248,11,9,8,1,5,3,0,1,0,0
6151,2019,248,11,9,8,1,5,3,0,1,0,0
7135,2020,248,11,9,8,1,5,3,0,1,0,0
248,2013,249,36,29,7,22,5,2,0,14,7,1
1232,2014,249,36,29,8,21,5,3,0,14,6,1
2216,2015,249,36,29,9,20,5,4,0,14,5,1
3200,2016,249,36,29,10,19,5,5,0,14,4,1
4184,2017,249,36,29,12,17,6,6,0,13,3,1
5168,2018,249,36,29,15,14,6,9,0,13,0,1
6152,2019,249,36,29,16,13,7,9,0,12,0,1
7136,2020,249,36,29,19,10,10,9,0,9,0,1
249,2013,250,13,11,4,7,2,2,0,3,3,1
1233,2014,250,13,11,5,6,3,2,0,2,3,1
2217,2015,250,13,11,5,6,3,2,0,2,3,1
3201,2016,250,13,11,7,4,4,3,0,1,2,1
4185,2017,250,13,11,7,4,4,3,0,1,2,1
5169,2018,250,13,11,8,3,5,3,0,0,2,1
6153,2019,250,13,11,8,3,5,3,0,0,2,1
7137,2020,250,13,11,9,2,5,4,0,0,1,1
250,2013,251,5,5,2,3,1,1,0,2,1,0
1234,2014,251,5,5,2,3,1,1,0,2,1,0
2218,2015,251,5,5,3,2,2,1,0,1,1,0
3202,2016,251,5,5,3,2,2,1,0,1,1,0
4186,2017,251,5,5,4,1,3,1,0,0,1,0
5170,2018,251,5,5,4,1,3,1,0,0,1,0
6154,2019,251,5,5,4,1,3,1,0,0,1,0
7138,2020,251,5,5,4,1,3,1,0,0,1,0
251,2013,252,11,5,2,3,2,0,0,1,1,1
1235,2014,252,11,5,3,2,3,0,0,0,1,1
2219,2015,252,11,5,3,2,3,0,0,0,1,1
3203,2016,252,11,5,3,2,3,0,0,0,1,1
4187,2017,252,11,5,3,2,3,0,0,0,1,1
5171,2018,252,11,5,3,2,3,0,0,0,1,1
6155,2019,252,11,5,4,1,3,1,0,0,0,1
7139,2020,252,11,5,4,1,3,1,0,0,0,1
252,2013,253,40,26,3,23,1,2,0,15,7,1
1236,2014,253,40,26,4,22,1,3,0,15,6,1
2220,2015,253,40,26,4,22,1,3,0,15,6,1
3204,2016,253,40,26,5,21,1,4,0,15,5,1
4188,2017,253,40,26,6,20,2,4,0,14,5,1
5172,2018,253,40,26,6,20,2,4,0,14,5,1
6156,2019,253,40,26,7,19,2,5,0,14,4,1
7140,2020,253,40,26,7,19,2,5,0,14,4,1
253,2013,254,12,8,3,5,2,1,0,3,2,0
1237,2014,254,12,8,3,5,2,1,0,3,2,0
2221,2015,254,12,8,4,4,3,1,0,2,2,0
3205,2016,254,12,8,4,4,3,1,0,2,2,0
4189,2017,254,12,8,4,4,3,1,0,2,2,0
5173,2018,254,12,8,5,3,4,1,0,1,2,0
6157,2019,254,12,8,5,3,4,1,0,1,2,0
7141,2020,254,12,8,6,2,4,2,0,1,1,0
254,2013,255,49,44,8,36,5,3,0,23,11,2
1238,2014,255,49,44,10,34,7,3,0,21,11,2
2222,2015,255,49,44,11,33,7,3,1,21,11,1
3206,2016,255,49,44,13,31,8,4,1,20,10,1
4190,2017,255,49,44,14,30,9,4,1,19,10,1
5174,2018,255,49,44,17,27,11,5,1,17,9,1
6158,2019,255,49,44,17,27,11,5,1,17,9,1
7142,2020,255,49,44,19,25,13,5,1,15,9,1
255,2013,256,13,8,1,7,1,0,0,5,1,1
1239,2014,256,13,8,1,7,1,0,0,5,1,1
2223,2015,256,13,8,1,7,1,0,0,5,1,1
3207,2016,256,13,8,1,7,1,0,0,5,1,1
4191,2017,256,13,8,1,7,1,0,0,5,1,1
5175,2018,256,13,8,1,7,1,0,0,5,1,1
6159,2019,256,13,8,1,7,1,0,0,5,1,1
7143,2020,256,13,8,1,7,1,0,0,5,1,1
256,2013,257,27,27,12,15,6,6,0,9,5,1
1240,2014,257,27,27,13,14,6,7,0,9,4,1
2224,2015,257,27,27,13,14,6,7,0,9,4,1
3208,2016,257,27,27,15,12,7,8,0,8,3,1
4192,2017,257,27,27,16,11,8,8,0,7,3,1
5176,2018,257,27,27,17,10,9,8,0,6,3,1
6160,2019,257,27,27,20,7,12,8,0,3,3,1
7144,2020,257,27,27,23,4,15,8,0,0,3,1
257,2013,258,22,21,8,13,4,3,1,8,4,1
1241,2014,258,22,21,9,12,4,4,1,8,3,1
2225,2015,258,22,21,10,11,4,5,1,8,2,1
3209,2016,258,22,21,11,10,5,5,1,7,2,1
4193,2017,258,22,21,11,10,5,5,1,7,2,1
5177,2018,258,22,21,12,9,6,5,1,6,2,1
6161,2019,258,22,21,12,9,6,5,1,6,2,1
7145,2020,258,22,21,13,8,6,6,1,6,1,1
258,2013,259,10,8,1,7,1,0,0,5,2,0
1242,2014,259,10,8,1,7,1,0,0,5,2,0
2226,2015,259,10,8,1,7,1,0,0,5,2,0
3210,2016,259,10,8,1,7,1,0,0,5,2,0
4194,2017,259,10,8,1,7,1,0,0,5,2,0
5178,2018,259,10,8,1,7,1,0,0,5,2,0
6162,2019,259,10,8,1,7,1,0,0,5,2,0
7146,2020,259,10,8,1,7,1,0,0,5,2,0
259,2013,260,20,7,1,6,0,1,0,4,1,1
1243,2014,260,20,7,1,6,0,1,0,4,1,1
2227,2015,260,20,7,1,6,0,1,0,4,1,1
3211,2016,260,20,7,1,6,0,1,0,4,1,1
4195,2017,260,20,7,1,6,0,1,0,4,1,1
5179,2018,260,20,7,1,6,0,1,0,4,1,1
6163,2019,260,20,7,1,6,0,1,0,4,1,1
7147,2020,260,20,7,2,5,1,1,0,3,1,1
260,2013,261,13,9,1,8,0,1,0,5,3,0
1244,2014,261,13,9,1,8,0,1,0,5,3,0
2228,2015,261,13,9,1,8,0,1,0,5,3,0
3212,2016,261,13,9,1,8,0,1,0,5,3,0
4196,2017,261,13,9,1,8,0,1,0,5,3,0
5180,2018,261,13,9,1,8,0,1,0,5,3,0
6164,2019,261,13,9,1,8,0,1,0,5,3,0
7148,2020,261,13,9,1,8,0,1,0,5,3,0
261,2013,262,11,5,2,3,2,0,0,2,1,0
1245,2014,262,11,5,2,3,2,0,0,2,1,0
2229,2015,262,11,5,3,2,2,1,0,2,0,0
3213,2016,262,11,5,3,2,2,1,0,2,0,0
4197,2017,262,11,5,3,2,2,1,0,2,0,0
5181,2018,262,11,5,3,2,2,1,0,2,0,0
6165,2019,262,11,5,4,1,3,1,0,1,0,0
7149,2020,262,11,5,4,1,3,1,0,1,0,0
262,2013,263,37,21,4,17,2,1,1,11,5,1
1246,2014,263,37,21,4,17,2,1,1,11,5,1
2230,2015,263,37,21,4,17,2,1,1,11,5,1
3214,2016,263,37,21,5,16,2,2,1,11,4,1
4198,2017,263,37,21,6,15,2,2,2,11,4,0
5182,2018,263,37,21,6,15,2,2,2,11,4,0
6166,2019,263,37,21,7,14,3,2,2,10,4,0
7150,2020,263,37,21,7,14,3,2,2,10,4,0
263,2013,264,41,32,11,21,7,4,0,13,6,2
1247,2014,264,41,32,11,21,7,4,0,13,6,2
2231,2015,264,41,32,13,19,7,6,0,13,4,2
3215,2016,264,41,32,16,16,8,8,0,12,2,2
4199,2017,264,41,32,19,13,9,10,0,11,0,2
5183,2018,264,41,32,22,10,12,10,0,8,0,2
6167,2019,264,41,32,23,9,13,10,0,7,0,2
7151,2020,264,41,32,28,4,18,10,0,2,0,2
264,2013,265,18,5,2,3,2,0,0,2,1,0
1248,2014,265,18,5,2,3,2,0,0,2,1,0
2232,2015,265,18,5,2,3,2,0,0,2,1,0
3216,2016,265,18,5,2,3,2,0,0,2,1,0
4200,2017,265,18,5,2,3,2,0,0,2,1,0
5184,2018,265,18,5,3,2,3,0,0,1,1,0
6168,2019,265,18,5,3,2,3,0,0,1,1,0
7152,2020,265,18,5,3,2,3,0,0,1,1,0
265,2013,266,10,10,4,6,2,2,0,3,2,1
1249,2014,266,10,10,5,5,3,2,0,2,2,1
2233,2015,266,10,10,5,5,3,2,0,2,2,1
3217,2016,266,10,10,6,4,3,3,0,2,1,1
4201,2017,266,10,10,7,3,3,4,0,2,0,1
5185,2018,266,10,10,7,3,3,4,0,2,0,1
6169,2019,266,10,10,8,2,4,4,0,1,0,1
7153,2020,266,10,10,9,1,5,4,0,0,0,1
266,2013,267,38,31,7,24,2,4,1,14,8,2
1250,2014,267,38,31,7,24,2,4,1,14,8,2
2234,2015,267,38,31,7,24,2,4,1,14,8,2
3218,2016,267,38,31,8,23,2,5,1,14,7,2
4202,2017,267,38,31,9,22,3,5,1,13,7,2
5186,2018,267,38,31,10,21,3,6,1,13,6,2
6170,2019,267,38,31,11,20,3,7,1,13,5,2
7154,2020,267,38,31,12,19,4,7,1,12,5,2
267,2013,268,23,10,3,7,1,1,1,3,3,1
1251,2014,268,23,10,4,6,1,2,1,3,2,1
2235,2015,268,23,10,4,6,1,2,1,3,2,1
3219,2016,268,23,10,5,5,2,2,1,2,2,1
4203,2017,268,23,10,6,4,2,3,1,2,1,1
5187,2018,268,23,10,6,4,2,3,1,2,1,1
6171,2019,268,23,10,8,2,2,4,2,2,0,0
7155,2020,268,23,10,8,2,2,4,2,2,0,0
268,2013,269,10,6,2,4,2,0,0,3,1,0
1252,2014,269,10,6,3,3,2,1,0,3,0,0
2236,2015,269,10,6,3,3,2,1,0,3,0,0
3220,2016,269,10,6,3,3,2,1,0,3,0,0
4204,2017,269,10,6,4,2,3,1,0,2,0,0
5188,2018,269,10,6,4,2,3,1,0,2,0,0
6172,2019,269,10,6,5,1,4,1,0,1,0,0
7156,2020,269,10,6,6,0,5,1,0,0,0,0
269,2013,270,10,4,2,2,2,0,0,1,1,0
1253,2014,270,10,4,2,2,2,0,0,1,1,0
2237,2015,270,10,4,2,2,2,0,0,1,1,0
3221,2016,270,10,4,2,2,2,0,0,1,1,0
4205,2017,270,10,4,2,2,2,0,0,1,1,0
5189,2018,270,10,4,2,2,2,0,0,1,1,0
6173,2019,270,10,4,3,1,3,0,0,0,1,0
7157,2020,270,10,4,3,1,3,0,0,0,1,0
270,2013,271,60,41,17,24,10,7,0,16,8,0
1254,2014,271,60,41,19,22,11,8,0,15,7,0
2238,2015,271,60,41,20,21,12,8,0,14,7,0
3222,2016,271,60,41,23,18,12,11,0,14,4,0
4206,2017,271,60,41,25,16,14,11,0,12,4,0
5190,2018,271,60,41,25,16,14,11,0,12,4,0
6174,2019,271,60,41,26,15,15,11,0,11,4,0
7158,2020,271,60,41,31,10,19,12,0,7,3,0
271,2013,272,15,4,1,3,1,0,0,1,1,1
1255,2014,272,15,4,2,2,2,0,0,0,1,1
2239,2015,272,15,4,2,2,2,0,0,0,1,1
3223,2016,272,15,4,2,2,2,0,0,0,1,1
4207,2017,272,15,4,2,2,2,0,0,0,1,1
5191,2018,272,15,4,2,2,2,0,0,0,1,1
6175,2019,272,15,4,2,2,2,0,0,0,1,1
7159,2020,272,15,4,3,1,2,1,0,0,0,1
272,2013,273,21,6,2,4,2,0,0,3,1,0
1256,2014,273,21,6,2,4,2,0,0,3,1,0
2240,2015,273,21,6,3,3,2,1,0,3,0,0
3224,2016,273,21,6,3,3,2,1,0,3,0,0
4208,2017,273,21,6,4,2,3,1,0,2,0,0
5192,2018,273,21,6,4,2,3,1,0,2,0,0
6176,2019,273,21,6,4,2,3,1,0,2,0,0
7160,2020,273,21,6,4,2,3,1,0,2,0,0
273,2013,274,11,8,2,6,1,1,0,3,2,1
1257,2014,274,11,8,3,5,1,2,0,3,1,1
2241,2015,274,11,8,3,5,1,2,0,3,1,1
3225,2016,274,11,8,3,5,1,2,0,3,1,1
4209,2017,274,11,8,4,4,2,2,0,2,1,1
5193,2018,274,11,8,4,4,2,2,0,2,1,1
6177,2019,274,11,8,5,3,3,2,0,1,1,1
7161,2020,274,11,8,5,3,3,2,0,1,1,1
274,2013,275,28,17,8,9,4,4,0,6,3,0
1258,2014,275,28,17,10,7,5,5,0,5,2,0
2242,2015,275,28,17,10,7,5,5,0,5,2,0
3226,2016,275,28,17,11,6,5,6,0,5,1,0
4210,2017,275,28,17,13,4,7,6,0,3,1,0
5194,2018,275,28,17,15,2,9,6,0,1,1,0
6178,2019,275,28,17,17,0,10,7,0,0,0,0
7162,2020,275,28,17,17,0,10,7,0,0,0,0
275,2013,276,19,9,5,4,3,2,0,3,1,0
1259,2014,276,19,9,5,4,3,2,0,3,1,0
2243,2015,276,19,9,5,4,3,2,0,3,1,0
3227,2016,276,19,9,6,3,4,2,0,2,1,0
4211,2017,276,19,9,6,3,4,2,0,2,1,0
5195,2018,276,19,9,6,3,4,2,0,2,1,0
6179,2019,276,19,9,7,2,4,3,0,2,0,0
7163,2020,276,19,9,8,1,5,3,0,1,0,0
276,2013,277,7,3,1,2,0,1,0,1,1,0
1260,2014,277,7,3,1,2,0,1,0,1,1,0
2244,2015,277,7,3,1,2,0,1,0,1,1,0
3228,2016,277,7,3,1,2,0,1,0,1,1,0
4212,2017,277,7,3,1,2,0,1,0,1,1,0
5196,2018,277,7,3,1,2,0,1,0,1,1,0
6180,2019,277,7,3,1,2,0,1,0,1,1,0
7164,2020,277,7,3,1,2,0,1,0,1,1,0
277,2013,278,39,24,8,16,5,2,1,11,5,0
1261,2014,278,39,24,9,15,5,3,1,11,4,0
2245,2015,278,39,24,9,15,5,3,1,11,4,0
3229,2016,278,39,24,11,13,5,5,1,11,2,0
4213,2017,278,39,24,12,12,6,5,1,10,2,0
5197,2018,278,39,24,13,11,6,6,1,10,1,0
6181,2019,278,39,24,15,9,8,6,1,8,1,0
7165,2020,278,39,24,18,6,11,6,1,5,1,0
278,2013,279,8,3,1,2,1,0,0,1,1,0
1262,2014,279,8,3,1,2,1,0,0,1,1,0
2246,2015,279,8,3,1,2,1,0,0,1,1,0
3230,2016,279,8,3,1,2,1,0,0,1,1,0
4214,2017,279,8,3,1,2,1,0,0,1,1,0
5198,2018,279,8,3,1,2,1,0,0,1,1,0
6182,2019,279,8,3,1,2,1,0,0,1,1,0
7166,2020,279,8,3,1,2,1,0,0,1,1,0
279,2013,280,15,4,1,3,0,1,0,1,1,1
1263,2014,280,15,4,1,3,0,1,0,1,1,1
2247,2015,280,15,4,1,3,0,1,0,1,1,1
3231,2016,280,15,4,1,3,0,1,0,1,1,1
4215,2017,280,15,4,1,3,0,1,0,1,1,1
5199,2018,280,15,4,1,3,0,1,0,1,1,1
6183,2019,280,15,4,1,3,0,1,0,1,1,1
7167,2020,280,15,4,1,3,0,1,0,1,1,1
280,2013,281,12,5,1,4,1,0,0,3,1,0
1264,2014,281,12,5,1,4,1,0,0,3,1,0
2248,2015,281,12,5,1,4,1,0,0,3,1,0
3232,2016,281,12,5,1,4,1,0,0,3,1,0
4216,2017,281,12,5,1,4,1,0,0,3,1,0
5200,2018,281,12,5,1,4,1,0,0,3,1,0
6184,2019,281,12,5,1,4,1,0,0,3,1,0
7168,2020,281,12,5,1,4,1,0,0,3,1,0
281,2013,282,46,40,17,23,6,9,2,15,6,2
1265,2014,282,46,40,19,21,6,11,2,15,4,2
2249,2015,282,46,40,21,19,6,13,2,15,2,2
3233,2016,282,46,40,24,16,7,15,2,14,0,2
4217,2017,282,46,40,26,14,9,15,2,12,0,2
5201,2018,282,46,40,29,11,12,15,2,9,0,2
6185,2019,282,46,40,32,8,15,15,2,6,0,2
7169,2020,282,46,40,38,2,21,15,2,0,0,2
282,2013,283,29,22,7,15,5,2,0,9,5,1
1266,2014,283,29,22,7,15,5,2,0,9,5,1
2250,2015,283,29,22,7,15,5,2,0,9,5,1
3234,2016,283,29,22,8,14,6,2,0,8,5,1
4218,2017,283,29,22,9,13,7,2,0,7,5,1
5202,2018,283,29,22,11,11,7,4,0,7,3,1
6186,2019,283,29,22,12,10,7,5,0,7,2,1
7170,2020,283,29,22,12,10,7,5,0,7,2,1
283,2013,284,19,9,4,5,2,1,1,3,2,0
1267,2014,284,19,9,5,4,3,1,1,2,2,0
2251,2015,284,19,9,6,3,3,2,1,2,1,0
3235,2016,284,19,9,8,1,5,2,1,0,1,0
4219,2017,284,19,9,9,0,5,3,1,0,0,0
5203,2018,284,19,9,9,0,5,3,1,0,0,0
6187,2019,284,19,9,9,0,5,3,1,0,0,0
7171,2020,284,19,9,9,0,5,3,1,0,0,0
284,2013,285,52,39,13,26,8,4,1,17,7,2
1268,2014,285,52,39,15,24,9,5,1,16,6,2
2252,2015,285,52,39,17,22,10,6,1,15,5,2
3236,2016,285,52,39,21,18,13,7,1,12,4,2
4220,2017,285,52,39,22,17,14,7,1,11,4,2
5204,2018,285,52,39,25,14,17,7,1,8,4,2
6188,2019,285,52,39,26,13,18,7,1,7,4,2
7172,2020,285,52,39,27,12,19,7,1,6,4,2
285,2013,286,34,14,5,9,1,3,1,6,3,0
1269,2014,286,34,14,5,9,1,3,1,6,3,0
2253,2015,286,34,14,6,8,1,4,1,6,2,0
3237,2016,286,34,14,7,7,2,4,1,5,2,0
4221,2017,286,34,14,8,6,2,5,1,5,1,0
5205,2018,286,34,14,8,6,2,5,1,5,1,0
6189,2019,286,34,14,9,5,3,5,1,4,1,0
7173,2020,286,34,14,10,4,3,6,1,4,0,0
286,2013,287,20,19,8,11,5,3,0,6,4,1
1270,2014,287,20,19,8,11,5,3,0,6,4,1
2254,2015,287,20,19,10,9,7,3,0,4,4,1
3238,2016,287,20,19,10,9,7,3,0,4,4,1
4222,2017,287,20,19,13,6,9,4,0,2,3,1
5206,2018,287,20,19,13,6,9,4,0,2,3,1
6190,2019,287,20,19,14,5,10,4,0,1,3,1
7174,2020,287,20,19,15,4,11,4,0,0,3,1
287,2013,288,43,16,8,8,4,4,0,5,2,1
1271,2014,288,43,16,8,8,4,4,0,5,2,1
2255,2015,288,43,16,9,7,5,4,0,4,2,1
3239,2016,288,43,16,10,6,6,4,0,3,2,1
4223,2017,288,43,16,13,3,9,4,0,0,2,1
5207,2018,288,43,16,14,2,9,5,0,0,1,1
6191,2019,288,43,16,16,0,9,6,1,0,0,0
7175,2020,288,43,16,16,0,9,6,1,0,0,0
288,2013,289,49,30,14,16,5,7,2,10,5,1
1272,2014,289,49,30,16,14,7,7,2,8,5,1
2256,2015,289,49,30,16,14,7,7,2,8,5,1
3240,2016,289,49,30,16,14,7,7,2,8,5,1
4224,2017,289,49,30,16,14,7,7,2,8,5,1
5208,2018,289,49,30,16,14,7,7,2,8,5,1
6192,2019,289,49,30,17,13,7,8,2,8,4,1
7176,2020,289,49,30,18,12,8,8,2,7,4,1
289,2013,290,22,18,4,14,2,2,0,10,3,1
1273,2014,290,22,18,4,14,2,2,0,10,3,1
2257,2015,290,22,18,5,13,3,2,0,9,3,1
3241,2016,290,22,18,5,13,3,2,0,9,3,1
4225,2017,290,22,18,6,12,4,2,0,8,3,1
5209,2018,290,22,18,6,12,4,2,0,8,3,1
6193,2019,290,22,18,7,11,4,3,0,8,2,1
7177,2020,290,22,18,7,11,4,3,0,8,2,1
290,2013,291,27,9,2,7,1,1,0,5,1,1
1274,2014,291,27,9,3,6,2,1,0,4,1,1
2258,2015,291,27,9,3,6,2,1,0,4,1,1
3242,2016,291,27,9,3,6,2,1,0,4,1,1
4226,2017,291,27,9,4,5,3,1,0,3,1,1
5210,2018,291,27,9,4,5,3,1,0,3,1,1
6194,2019,291,27,9,5,4,4,1,0,2,1,1
7178,2020,291,27,9,5,4,4,1,0,2,1,1
291,2013,292,14,14,1,13,1,0,0,9,3,1
1275,2014,292,14,14,1,13,1,0,0,9,3,1
2259,2015,292,14,14,1,13,1,0,0,9,3,1
3243,2016,292,14,14,1,13,1,0,0,9,3,1
4227,2017,292,14,14,1,13,1,0,0,9,3,1
5211,2018,292,14,14,1,13,1,0,0,9,3,1
6195,2019,292,14,14,2,12,1,1,0,9,2,1
7179,2020,292,14,14,2,12,1,1,0,9,2,1
292,2013,293,7,2,1,1,0,1,0,0,1,0
1276,2014,293,7,2,1,1,0,1,0,0,1,0
2260,2015,293,7,2,1,1,0,1,0,0,1,0
3244,2016,293,7,2,1,1,0,1,0,0,1,0
4228,2017,293,7,2,1,1,0,1,0,0,1,0
5212,2018,293,7,2,1,1,0,1,0,0,1,0
6196,2019,293,7,2,1,1,0,1,0,0,1,0
7180,2020,293,7,2,1,1,0,1,0,0,1,0
293,2013,294,6,3,2,1,2,0,0,1,0,0
1277,2014,294,6,3,2,1,2,0,0,1,0,0
2261,2015,294,6,3,2,1,2,0,0,1,0,0
3245,2016,294,6,3,2,1,2,0,0,1,0,0
4229,2017,294,6,3,2,1,2,0,0,1,0,0
5213,2018,294,6,3,2,1,2,0,0,1,0,0
6197,2019,294,6,3,3,0,3,0,0,0,0,0
7181,2020,294,6,3,3,0,3,0,0,0,0,0
294,2013,295,15,5,1,4,0,1,0,1,2,1
1278,2014,295,15,5,1,4,0,1,0,1,2,1
2262,2015,295,15,5,1,4,0,1,0,1,2,1
3246,2016,295,15,5,1,4,0,1,0,1,2,1
4230,2017,295,15,5,1,4,0,1,0,1,2,1
5214,2018,295,15,5,1,4,0,1,0,1,2,1
6198,2019,295,15,5,2,3,0,2,0,1,1,1
7182,2020,295,15,5,2,3,0,2,0,1,1,1
295,2013,296,15,12,5,7,3,2,0,5,1,1
1279,2014,296,15,12,5,7,3,2,0,5,1,1
2263,2015,296,15,12,6,6,4,2,0,4,1,1
3247,2016,296,15,12,6,6,4,2,0,4,1,1
4231,2017,296,15,12,7,5,5,2,0,3,1,1
5215,2018,296,15,12,9,3,5,3,1,3,0,0
6199,2019,296,15,12,9,3,5,3,1,3,0,0
7183,2020,296,15,12,11,1,7,3,1,1,0,0
296,2013,297,55,14,5,9,3,1,1,6,2,1
1280,2014,297,55,14,6,8,3,2,1,6,1,1
2264,2015,297,55,14,7,7,4,2,1,5,1,1
3248,2016,297,55,14,8,6,5,2,1,4,1,1
4232,2017,297,55,14,8,6,5,2,1,4,1,1
5216,2018,297,55,14,9,5,5,3,1,4,0,1
6200,2019,297,55,14,10,4,6,3,1,3,0,1
7184,2020,297,55,14,10,4,6,3,1,3,0,1
297,2013,298,29,27,8,19,5,3,0,12,6,1
1281,2014,298,29,27,9,18,5,4,0,12,5,1
2265,2015,298,29,27,9,18,5,4,0,12,5,1
3249,2016,298,29,27,11,16,5,6,0,12,3,1
4233,2017,298,29,27,12,15,5,7,0,12,2,1
5217,2018,298,29,27,14,13,5,9,0,12,0,1
6201,2019,298,29,27,16,11,7,9,0,10,0,1
7185,2020,298,29,27,17,10,8,9,0,9,0,1
298,2013,299,9,3,2,1,2,0,0,1,0,0
1282,2014,299,9,3,2,1,2,0,0,1,0,0
2266,2015,299,9,3,2,1,2,0,0,1,0,0
3250,2016,299,9,3,3,0,3,0,0,0,0,0
4234,2017,299,9,3,3,0,3,0,0,0,0,0
5218,2018,299,9,3,3,0,3,0,0,0,0,0
6202,2019,299,9,3,3,0,3,0,0,0,0,0
7186,2020,299,9,3,3,0,3,0,0,0,0,0
299,2013,300,5,5,1,4,0,1,0,1,2,1
1283,2014,300,5,5,1,4,0,1,0,1,2,1
2267,2015,300,5,5,1,4,0,1,0,1,2,1
3251,2016,300,5,5,1,4,0,1,0,1,2,1
4235,2017,300,5,5,1,4,0,1,0,1,2,1
5219,2018,300,5,5,1,4,0,1,0,1,2,1
6203,2019,300,5,5,1,4,0,1,0,1,2,1
7187,2020,300,5,5,1,4,0,1,0,1,2,1
