,Quizz_ID,Year,Departement,Chapter_ID,Rank_onChapter,Quizz_Type,Number_Attempts,UniQ_Learner,Sucessful_Learners,Unsucessful_Learners,Avg_Attempts,Percent_Learners_Success,Success_Attempts,Failure_Attempts,TruePrct_Succes,Predict_Difficulty,Correct_Difficulty,Prediction/Correct Difficulty
162,163,2015,Management,6,6,QCU,6,4,3,1,1.5,75.0,3,3,44.15,Difficile,Difficile,Difficile / Difficile
992,163,2016,Management,6,6,QCU,6,4,0,4,1.5,0.0,0,6,0.06,Difficile,Trop Difficile,Difficile / Trop Difficile
1822,163,2017,Management,6,6,QCU,5,4,3,1,1.25,75.0,3,2,55.73,Difficile,Difficile,Difficile / Difficile
2652,163,2018,Management,6,6,QCU,5,4,3,1,1.25,75.0,3,2,66.74,Difficile,Adapte,Difficile / Adapte
3482,163,2019,Management,6,6,QCU,6,6,4,2,1.0,66.67,4,2,66.53,Adapte,Adapte,Adapte / Adapte
4312,163,2020,Management,6,6,QCU,6,6,4,2,1.0,66.67,4,2,68.63,Adapte,Adapte,Adapte / Adapte
163,164,2015,Management,6,7,QCU,18,17,16,1,1.06,94.12,16,2,90.74,Trop Facile,Trop Facile,Trop Facile / Trop Facile
993,164,2016,Management,6,7,QCU,15,10,10,0,1.5,100.0,10,5,66.49,Difficile,Adapte,Difficile / Adapte
1823,164,2017,Management,6,7,QCU,15,11,9,2,1.36,81.82,9,6,63.23,Adapte,Adapte,Adapte / Adapte
2653,164,2018,Management,6,7,QCU,12,11,9,2,1.09,81.82,9,3,71.07,Adapte,Adapte,Adapte / Adapte
3483,164,2019,Management,6,7,QCU,10,9,7,2,1.11,77.78,7,3,72.89,Adapte,Adapte,Adapte / Adapte
4313,164,2020,Management,6,7,QCU,9,9,7,2,1.0,77.78,7,2,72.48,Adapte,Adapte,Adapte / Adapte
164,165,2015,Management,7,1,QROC,71,46,0,46,1.54,0.0,0,71,0.55,Adapte,Trop Difficile,Adapte / Trop Difficile
994,165,2016,Management,7,1,QROC,73,52,40,12,1.4,76.92,40,33,54.84,Difficile,Difficile,Difficile / Difficile
1824,165,2017,Management,7,1,QROC,58,53,41,12,1.09,77.36,41,17,71.26,Difficile,Adapte,Difficile / Adapte
2654,165,2018,Management,7,1,QROC,64,63,41,22,1.02,65.08,41,23,63.31,Adapte,Adapte,Adapte / Adapte
3484,165,2019,Management,7,1,QROC,61,53,40,13,1.15,75.47,40,21,65.84,Adapte,Adapte,Adapte / Adapte
4314,165,2020,Management,7,1,QROC,58,51,43,8,1.14,84.31,43,15,74.09,Adapte,Adapte,Adapte / Adapte
165,166,2015,Management,7,2,QCM,17,10,1,9,1.7,10.0,1,16,4.67,Difficile,Trop Difficile,Difficile / Trop Difficile
995,166,2016,Management,7,2,QCM,18,16,4,12,1.12,25.0,4,14,19.71,Difficile,Trop Difficile,Difficile / Trop Difficile
1825,166,2017,Management,7,2,QCM,21,21,14,7,1.0,66.67,14,7,68.93,Difficile,Adapte,Difficile / Adapte
2655,166,2018,Management,7,2,QCM,19,15,13,2,1.27,86.67,13,6,67.18,Adapte,Adapte,Adapte / Adapte
3485,166,2019,Management,7,2,QCM,19,15,13,2,1.27,86.67,13,6,70.62,Adapte,Adapte,Adapte / Adapte
4315,166,2020,Management,7,2,QCM,20,16,14,2,1.25,87.5,14,6,68.32,Adapte,Adapte,Adapte / Adapte
166,167,2015,Management,7,3,QCU,58,47,46,1,1.23,97.87,46,12,78.99,Facile,Facile,Facile / Facile
996,167,2016,Management,7,3,QCU,47,46,35,11,1.02,76.09,35,12,74.41,Difficile,Adapte,Difficile / Adapte
1826,167,2017,Management,7,3,QCU,55,46,40,6,1.2,86.96,40,15,72.49,Adapte,Adapte,Adapte / Adapte
2656,167,2018,Management,7,3,QCU,59,36,36,0,1.64,100.0,36,23,61.85,Adapte,Adapte,Adapte / Adapte
3486,167,2019,Management,7,3,QCU,58,41,36,5,1.41,87.8,36,22,62.72,Adapte,Adapte,Adapte / Adapte
4316,167,2020,Management,7,3,QCU,57,41,35,6,1.39,85.37,35,22,60.91,Adapte,Adapte,Adapte / Adapte
167,168,2015,Management,7,4,QCU,84,62,6,56,1.35,9.68,6,78,7.36,Facile,Trop Difficile,Facile / Trop Difficile
997,168,2016,Management,7,4,QCU,88,51,31,20,1.73,60.78,31,57,35.3,Difficile,Difficile,Difficile / Difficile
1827,168,2017,Management,7,4,QCU,82,79,46,33,1.04,58.23,46,36,56.19,Difficile,Difficile,Difficile / Difficile
2657,168,2018,Management,7,4,QCU,76,55,36,19,1.38,65.45,36,40,46.84,Difficile,Difficile,Difficile / Difficile
3487,168,2019,Management,7,4,QCU,86,67,24,43,1.28,35.82,24,62,27.97,Difficile,Difficile,Difficile / Difficile
4317,168,2020,Management,7,4,QCU,102,86,47,39,1.19,54.65,47,55,46.29,Difficile,Difficile,Difficile / Difficile
168,169,2015,Management,7,5,QCM,46,45,45,0,1.02,100.0,45,1,97.53,Trop Facile,Trop Facile,Trop Facile / Trop Facile
998,169,2016,Management,7,5,QCM,55,53,29,24,1.04,54.72,29,26,52.04,Difficile,Difficile,Difficile / Difficile
1828,169,2017,Management,7,5,QCM,59,26,21,5,2.27,80.77,21,38,36.35,Difficile,Difficile,Difficile / Difficile
2658,169,2018,Management,7,5,QCM,70,63,56,7,1.11,88.89,56,14,80.01,Difficile,Facile,Difficile / Facile
3488,169,2019,Management,7,5,QCM,60,36,21,15,1.67,58.33,21,39,34.76,Difficile,Difficile,Difficile / Difficile
4318,169,2020,Management,7,5,QCM,54,39,22,17,1.38,56.41,22,32,40.35,Difficile,Difficile,Difficile / Difficile
169,170,2015,Management,8,1,QROC,74,60,59,1,1.23,98.33,59,15,79.89,Trop Difficile,Facile,Trop Difficile / Facile
999,170,2016,Management,8,1,QROC,82,68,38,30,1.21,55.88,38,44,46.32,Difficile,Difficile,Difficile / Difficile
1829,170,2017,Management,8,1,QROC,72,35,20,15,2.06,57.14,20,52,27.8,Difficile,Difficile,Difficile / Difficile
2659,170,2018,Management,8,1,QROC,60,50,33,17,1.2,66.0,33,27,54.22,Difficile,Difficile,Difficile / Difficile
3489,170,2019,Management,8,1,QROC,56,29,22,7,1.93,75.86,22,34,38.8,Difficile,Difficile,Difficile / Difficile
4319,170,2020,Management,8,1,QROC,57,51,6,45,1.12,11.76,6,51,11.23,Difficile,Trop Difficile,Difficile / Trop Difficile
170,171,2015,Management,8,2,QROC,89,65,61,4,1.37,93.85,61,28,68.77,Difficile,Adapte,Difficile / Adapte
1000,171,2016,Management,8,2,QROC,94,65,60,5,1.45,92.31,60,34,63.95,Adapte,Adapte,Adapte / Adapte
1830,171,2017,Management,8,2,QROC,88,87,64,23,1.01,73.56,64,24,72.69,Adapte,Adapte,Adapte / Adapte
2660,171,2018,Management,8,2,QROC,86,82,63,19,1.05,76.83,63,23,73.1,Adapte,Adapte,Adapte / Adapte
3490,171,2019,Management,8,2,QROC,78,59,48,11,1.32,81.36,48,30,61.34,Adapte,Adapte,Adapte / Adapte
4320,171,2020,Management,8,2,QROC,65,57,41,16,1.14,71.93,41,24,63.78,Adapte,Adapte,Adapte / Adapte
171,172,2015,Management,8,3,QCU,43,41,40,1,1.05,97.56,40,3,93.07,Trop Difficile,Trop Facile,Trop Difficile / Trop Facile
1001,172,2016,Management,8,3,QCU,48,40,24,16,1.2,60.0,24,24,50.54,Difficile,Difficile,Difficile / Difficile
1831,172,2017,Management,8,3,QCU,51,40,40,0,1.27,100.0,40,11,77.95,Difficile,Facile,Difficile / Facile
2661,172,2018,Management,8,3,QCU,52,33,20,13,1.58,60.61,20,32,37.5,Difficile,Difficile,Difficile / Difficile
3491,172,2019,Management,8,3,QCU,48,43,43,0,1.12,100.0,43,5,88.75,Difficile,Trop Facile,Difficile / Trop Facile
4321,172,2020,Management,8,3,QCU,57,38,35,3,1.5,92.11,35,22,60.94,Difficile,Adapte,Difficile / Adapte
172,173,2015,Management,8,4,QCU,50,45,34,11,1.11,75.56,34,16,67.85,Adapte,Adapte,Adapte / Adapte
1002,173,2016,Management,8,4,QCU,48,42,35,7,1.14,83.33,35,13,73.03,Adapte,Adapte,Adapte / Adapte
1832,173,2017,Management,8,4,QCU,45,43,31,12,1.05,72.09,31,14,68.7,Adapte,Adapte,Adapte / Adapte
2662,173,2018,Management,8,4,QCU,39,38,29,9,1.03,76.32,29,10,73.43,Adapte,Adapte,Adapte / Adapte
3492,173,2019,Management,8,4,QCU,47,45,32,13,1.04,71.11,32,15,67.59,Adapte,Adapte,Adapte / Adapte
4322,173,2020,Management,8,4,QCU,40,30,28,2,1.33,93.33,28,12,70.41,Adapte,Adapte,Adapte / Adapte
173,174,2015,Management,8,5,QCM,40,40,23,17,1.0,57.5,23,17,57.51,Difficile,Difficile,Difficile / Difficile
1003,174,2016,Management,8,5,QCM,42,41,22,19,1.02,53.66,22,20,53.06,Difficile,Difficile,Difficile / Difficile
1833,174,2017,Management,8,5,QCM,38,22,11,11,1.73,50.0,11,27,28.21,Difficile,Difficile,Difficile / Difficile
2663,174,2018,Management,8,5,QCM,34,33,12,21,1.03,36.36,12,22,34.79,Difficile,Difficile,Difficile / Difficile
3493,174,2019,Management,8,5,QCM,36,19,14,5,1.89,73.68,14,22,39.8,Difficile,Difficile,Difficile / Difficile
4323,174,2020,Management,8,5,QCM,33,15,15,0,2.2,100.0,15,18,44.08,Difficile,Difficile,Difficile / Difficile
174,175,2015,Management,8,6,QO,89,85,34,51,1.05,40.0,34,55,38.37,Difficile,Difficile,Difficile / Difficile
1004,175,2016,Management,8,6,QO,75,56,2,54,1.34,3.57,2,73,2.79,Trop Difficile,Trop Difficile,Trop Difficile / Trop Difficile
1834,175,2017,Management,8,6,QO,75,67,58,9,1.12,86.57,58,17,77.55,Trop Difficile,Facile,Trop Difficile / Facile
2664,175,2018,Management,8,6,QO,67,40,17,23,1.68,42.5,17,50,25.28,Trop Difficile,Difficile,Trop Difficile / Difficile
3494,175,2019,Management,8,6,QO,68,63,5,58,1.08,7.94,5,63,8.01,Trop Difficile,Trop Difficile,Trop Difficile / Trop Difficile
4324,175,2020,Management,8,6,QO,55,34,8,26,1.62,23.53,8,47,13.73,Trop Difficile,Trop Difficile,Trop Difficile / Trop Difficile
175,176,2015,Management,8,7,QCM,25,24,16,8,1.04,66.67,16,9,65.93,Adapte,Adapte,Adapte / Adapte
1005,176,2016,Management,8,7,QCM,24,24,15,9,1.0,62.5,15,9,62.45,Adapte,Adapte,Adapte / Adapte
1835,176,2017,Management,8,7,QCM,23,15,15,0,1.53,100.0,15,8,65.47,Adapte,Adapte,Adapte / Adapte
2665,176,2018,Management,8,7,QCM,25,23,16,7,1.09,69.57,16,9,63.14,Adapte,Adapte,Adapte / Adapte
3495,176,2019,Management,8,7,QCM,26,21,17,4,1.24,80.95,17,9,66.37,Adapte,Adapte,Adapte / Adapte
4325,176,2020,Management,8,7,QCM,26,18,18,0,1.44,100.0,18,8,70.14,Adapte,Adapte,Adapte / Adapte
176,177,2015,Management,8,8,QCM,69,54,47,7,1.28,87.04,47,22,67.88,Adapte,Adapte,Adapte / Adapte
1006,177,2016,Management,8,8,QCM,79,67,49,18,1.18,73.13,49,30,61.54,Adapte,Adapte,Adapte / Adapte
1836,177,2017,Management,8,8,QCM,78,76,55,21,1.03,72.37,55,23,70.46,Adapte,Adapte,Adapte / Adapte
2666,177,2018,Management,8,8,QCM,88,73,61,12,1.21,83.56,61,27,69.44,Adapte,Adapte,Adapte / Adapte
3496,177,2019,Management,8,8,QCM,91,74,62,12,1.23,83.78,62,29,68.3,Adapte,Adapte,Adapte / Adapte
4326,177,2020,Management,8,8,QCM,89,73,58,15,1.22,79.45,58,31,65.73,Adapte,Adapte,Adapte / Adapte
177,178,2015,Management,8,9,QROC,93,89,70,19,1.04,78.65,70,23,74.83,Difficile,Adapte,Difficile / Adapte
1007,178,2016,Management,8,9,QROC,93,77,63,14,1.21,81.82,63,30,67.24,Adapte,Adapte,Adapte / Adapte
1837,178,2017,Management,8,9,QROC,100,73,72,1,1.37,98.63,72,28,71.9,Adapte,Adapte,Adapte / Adapte
2667,178,2018,Management,8,9,QROC,115,97,85,12,1.19,87.63,85,30,74.33,Adapte,Adapte,Adapte / Adapte
3497,178,2019,Management,8,9,QROC,115,96,83,13,1.2,86.46,83,32,72.14,Adapte,Adapte,Adapte / Adapte
4327,178,2020,Management,8,9,QROC,132,99,92,7,1.33,92.93,92,40,69.34,Adapte,Adapte,Adapte / Adapte
178,179,2015,Management,8,10,QCU,11,8,3,5,1.38,37.5,3,8,28.36,Difficile,Difficile,Difficile / Difficile
1008,179,2016,Management,8,10,QCU,10,7,6,1,1.43,85.71,6,4,63.98,Difficile,Adapte,Difficile / Adapte
1838,179,2017,Management,8,10,QCU,10,7,6,1,1.43,85.71,6,4,63.92,Adapte,Adapte,Adapte / Adapte
2668,179,2018,Management,8,10,QCU,8,7,6,1,1.14,85.71,6,2,69.48,Adapte,Adapte,Adapte / Adapte
3498,179,2019,Management,8,10,QCU,6,4,4,0,1.5,100.0,4,2,69.8,Adapte,Adapte,Adapte / Adapte
4328,179,2020,Management,8,10,QCU,5,5,3,2,1.0,60.0,3,2,66.74,Adapte,Adapte,Adapte / Adapte
179,180,2015,Management,9,1,QROC,91,67,13,54,1.36,19.4,13,78,13.98,Trop Difficile,Trop Difficile,Trop Difficile / Trop Difficile
1009,180,2016,Management,9,1,QROC,80,78,76,2,1.03,97.44,76,4,95.24,Difficile,Trop Facile,Difficile / Trop Facile
1839,180,2017,Management,9,1,QROC,74,66,62,4,1.12,93.94,62,12,83.48,Difficile,Facile,Difficile / Facile
2669,180,2018,Management,9,1,QROC,63,60,59,1,1.05,98.33,59,4,93.52,Difficile,Trop Facile,Difficile / Trop Facile
3499,180,2019,Management,9,1,QROC,67,39,38,1,1.72,97.44,38,29,56.32,Difficile,Difficile,Difficile / Difficile
4329,180,2020,Management,9,1,QROC,60,36,22,14,1.67,61.11,22,38,36.52,Difficile,Difficile,Difficile / Difficile
180,181,2015,Management,9,2,QCU,87,74,73,1,1.18,98.65,73,14,83.76,Facile,Facile,Facile / Facile
1010,181,2016,Management,9,2,QCU,80,65,29,36,1.23,44.62,29,51,36.42,Difficile,Difficile,Difficile / Difficile
1840,181,2017,Management,9,2,QCU,86,79,72,7,1.09,91.14,72,14,83.81,Difficile,Facile,Difficile / Facile
2670,181,2018,Management,9,2,QCU,74,72,57,15,1.03,79.17,57,17,76.38,Difficile,Facile,Difficile / Facile
3500,181,2019,Management,9,2,QCU,85,54,39,15,1.57,72.22,39,46,45.46,Difficile,Difficile,Difficile / Difficile
4330,181,2020,Management,9,2,QCU,85,44,36,8,1.93,81.82,36,49,42.33,Difficile,Difficile,Difficile / Difficile
181,182,2015,Management,9,3,QCM,56,54,53,1,1.04,98.15,53,3,94.97,Trop Facile,Trop Facile,Trop Facile / Trop Facile
1011,182,2016,Management,9,3,QCM,58,58,57,1,1.0,98.28,57,1,97.48,Difficile,Trop Facile,Difficile / Trop Facile
1841,182,2017,Management,9,3,QCM,54,31,14,17,1.74,45.16,14,40,26.27,Difficile,Difficile,Difficile / Difficile
2671,182,2018,Management,9,3,QCM,63,62,56,6,1.02,90.32,56,7,88.56,Difficile,Trop Facile,Difficile / Trop Facile
3501,182,2019,Management,9,3,QCM,76,59,41,18,1.29,69.49,41,35,54.27,Difficile,Difficile,Difficile / Difficile
4331,182,2020,Management,9,3,QCM,89,88,30,58,1.01,34.09,30,59,33.28,Difficile,Difficile,Difficile / Difficile
182,183,2015,Management,9,4,QCM,76,74,73,1,1.03,98.65,73,3,96.35,Trop Facile,Trop Facile,Trop Facile / Trop Facile
1012,183,2016,Management,9,4,QCM,85,80,76,4,1.06,95.0,76,9,89.11,Difficile,Trop Facile,Difficile / Trop Facile
1842,183,2017,Management,9,4,QCM,79,46,21,25,1.72,45.65,21,58,26.82,Difficile,Difficile,Difficile / Difficile
2672,183,2018,Management,9,4,QCM,87,62,57,5,1.4,91.94,57,30,65.86,Difficile,Adapte,Difficile / Adapte
3502,183,2019,Management,9,4,QCM,93,90,63,27,1.03,70.0,63,30,67.95,Adapte,Adapte,Adapte / Adapte
4332,183,2020,Management,9,4,QCM,105,87,66,21,1.21,75.86,66,39,63.3,Adapte,Adapte,Adapte / Adapte
183,184,2015,Management,9,5,QCM,38,33,30,3,1.15,90.91,30,8,77.96,Facile,Facile,Facile / Facile
1013,184,2016,Management,9,5,QCM,32,26,12,14,1.23,46.15,12,20,37.98,Difficile,Difficile,Difficile / Difficile
1843,184,2017,Management,9,5,QCM,27,16,15,1,1.69,93.75,15,12,54.17,Difficile,Difficile,Difficile / Difficile
2673,184,2018,Management,9,5,QCM,29,11,5,6,2.64,45.45,5,24,17.59,Difficile,Trop Difficile,Difficile / Trop Difficile
3503,184,2019,Management,9,5,QCM,31,17,13,4,1.82,76.47,13,18,40.49,Difficile,Difficile,Difficile / Difficile
4333,184,2020,Management,9,5,QCM,37,17,17,0,2.18,100.0,17,20,45.16,Difficile,Difficile,Difficile / Difficile
184,185,2015,Management,9,6,QCM,71,68,59,9,1.04,86.76,59,12,83.05,Facile,Facile,Facile / Facile
1014,185,2016,Management,9,6,QCM,80,44,29,15,1.82,65.91,29,51,36.35,Difficile,Difficile,Difficile / Difficile
1844,185,2017,Management,9,6,QCM,92,64,55,9,1.44,85.94,55,37,60.27,Difficile,Adapte,Difficile / Adapte
2674,185,2018,Management,9,6,QCM,101,72,67,5,1.4,93.06,67,34,66.21,Adapte,Adapte,Adapte / Adapte
3504,185,2019,Management,9,6,QCM,114,109,73,36,1.05,66.97,73,41,63.62,Adapte,Adapte,Adapte / Adapte
4334,185,2020,Management,9,6,QCM,96,69,65,4,1.39,94.2,65,31,67.38,Adapte,Adapte,Adapte / Adapte
185,186,2015,Management,9,7,QCM,36,31,28,3,1.16,90.32,28,8,79.03,Facile,Facile,Facile / Facile
1015,186,2016,Management,9,7,QCM,42,41,40,1,1.02,97.56,40,2,95.84,Difficile,Trop Facile,Difficile / Trop Facile
1845,186,2017,Management,9,7,QCM,42,40,40,0,1.05,100.0,40,2,94.84,Difficile,Trop Facile,Difficile / Trop Facile
2675,186,2018,Management,9,7,QCM,38,35,20,15,1.09,57.14,20,18,51.98,Difficile,Difficile,Difficile / Difficile
3505,186,2019,Management,9,7,QCM,35,24,11,13,1.46,45.83,11,24,32.01,Difficile,Difficile,Difficile / Difficile
4335,186,2020,Management,9,7,QCM,39,33,23,10,1.18,69.7,23,16,58.69,Difficile,Difficile,Difficile / Difficile
186,187,2015,Management,9,8,QCU,47,45,44,1,1.04,97.78,44,3,93.11,Trop Facile,Trop Facile,Trop Facile / Trop Facile
1016,187,2016,Management,9,8,QCU,49,38,16,22,1.29,42.11,16,33,32.85,Difficile,Difficile,Difficile / Difficile
1846,187,2017,Management,9,8,QCU,46,43,15,28,1.07,34.88,15,31,33.54,Difficile,Difficile,Difficile / Difficile
2676,187,2018,Management,9,8,QCU,55,54,40,14,1.02,74.07,40,15,72.71,Difficile,Adapte,Difficile / Adapte
3506,187,2019,Management,9,8,QCU,63,46,38,8,1.37,82.61,38,25,60.34,Adapte,Adapte,Adapte / Adapte
4336,187,2020,Management,9,8,QCU,67,47,41,6,1.43,87.23,41,26,61.14,Adapte,Adapte,Adapte / Adapte
187,188,2015,Management,9,9,QCU,50,43,37,6,1.16,86.05,37,13,73.16,Adapte,Adapte,Adapte / Adapte
1017,188,2016,Management,9,9,QCU,41,34,28,6,1.21,82.35,28,13,68.95,Adapte,Adapte,Adapte / Adapte
1847,188,2017,Management,9,9,QCU,45,44,30,14,1.02,68.18,30,15,66.89,Adapte,Adapte,Adapte / Adapte
2677,188,2018,Management,9,9,QCU,36,28,22,6,1.29,78.57,22,14,61.13,Adapte,Adapte,Adapte / Adapte
3507,188,2019,Management,9,9,QCU,36,31,25,6,1.16,80.65,25,11,69.78,Adapte,Adapte,Adapte / Adapte
4337,188,2020,Management,9,9,QCU,41,31,28,3,1.32,90.32,28,13,69.22,Adapte,Adapte,Adapte / Adapte
188,189,2015,Management,9,10,QCM,42,33,33,0,1.27,100.0,33,9,77.6,Difficile,Facile,Difficile / Facile
1018,189,2016,Management,9,10,QCM,37,33,32,1,1.12,96.97,32,5,87.51,Difficile,Trop Facile,Difficile / Trop Facile
1848,189,2017,Management,9,10,QCM,35,32,29,3,1.09,90.62,29,6,82.66,Difficile,Facile,Difficile / Facile
2678,189,2018,Management,9,10,QCM,32,28,20,8,1.14,71.43,20,12,61.14,Difficile,Adapte,Difficile / Adapte
3508,189,2019,Management,9,10,QCM,29,25,18,7,1.16,72.0,18,11,61.01,Adapte,Adapte,Adapte / Adapte
4338,189,2020,Management,9,10,QCM,28,18,17,1,1.56,94.44,17,11,60.52,Adapte,Adapte,Adapte / Adapte
189,190,2015,Management,9,11,QCU,84,74,43,31,1.14,58.11,43,41,50.73,Difficile,Difficile,Difficile / Difficile
1019,190,2016,Management,9,11,QCU,101,85,39,46,1.19,45.88,39,62,38.83,Difficile,Difficile,Difficile / Difficile
1849,190,2017,Management,9,11,QCU,93,91,42,49,1.02,46.15,42,51,45.36,Difficile,Difficile,Difficile / Difficile
2679,190,2018,Management,9,11,QCU,93,46,36,10,2.02,78.26,36,57,38.77,Difficile,Difficile,Difficile / Difficile
3509,190,2019,Management,9,11,QCU,81,76,71,5,1.07,93.42,71,10,87.28,Difficile,Trop Facile,Difficile / Trop Facile
4339,190,2020,Management,9,11,QCU,84,49,30,19,1.71,61.22,30,54,36.16,Difficile,Difficile,Difficile / Difficile
190,191,2015,Management,10,1,QCM,92,79,72,7,1.16,91.14,72,20,78.25,Difficile,Facile,Difficile / Facile
1020,191,2016,Management,10,1,QCM,87,61,48,13,1.43,78.69,48,39,55.7,Difficile,Difficile,Difficile / Difficile
1850,191,2017,Management,10,1,QCM,78,71,63,8,1.1,88.73,63,15,80.63,Difficile,Facile,Difficile / Facile
2680,191,2018,Management,10,1,QCM,91,78,74,4,1.17,94.87,74,17,81.5,Difficile,Facile,Difficile / Facile
3510,191,2019,Management,10,1,QCM,85,57,34,23,1.49,59.65,34,51,39.99,Difficile,Difficile,Difficile / Difficile
4340,191,2020,Management,10,1,QCM,82,35,32,3,2.34,91.43,32,50,39.36,Difficile,Difficile,Difficile / Difficile
191,192,2015,Management,10,2,QCM,28,16,8,8,1.75,50.0,8,20,29.65,Difficile,Difficile,Difficile / Difficile
1021,192,2016,Management,10,2,QCM,25,24,22,2,1.04,91.67,22,3,86.63,Difficile,Trop Facile,Difficile / Trop Facile
1851,192,2017,Management,10,2,QCM,26,22,10,12,1.18,45.45,10,16,38.66,Difficile,Difficile,Difficile / Difficile
2681,192,2018,Management,10,2,QCM,31,27,23,4,1.15,85.19,23,8,74.12,Difficile,Adapte,Difficile / Adapte
3511,192,2019,Management,10,2,QCM,32,31,23,8,1.03,74.19,23,9,72.87,Adapte,Adapte,Adapte / Adapte
4341,192,2020,Management,10,2,QCM,37,34,27,7,1.09,79.41,27,10,73.49,Adapte,Adapte,Adapte / Adapte
192,193,2015,Management,10,3,QCU,57,42,15,27,1.36,35.71,15,42,26.25,Difficile,Difficile,Difficile / Difficile
1022,193,2016,Management,10,3,QCU,46,41,18,23,1.12,43.9,18,28,38.84,Difficile,Difficile,Difficile / Difficile
1852,193,2017,Management,10,3,QCU,48,30,13,17,1.6,43.33,13,35,27.25,Difficile,Difficile,Difficile / Difficile
2682,193,2018,Management,10,3,QCU,44,22,14,8,2.0,63.64,14,30,32.39,Difficile,Difficile,Difficile / Difficile
3512,193,2019,Management,10,3,QCU,46,29,13,16,1.59,44.83,13,33,28.53,Difficile,Difficile,Difficile / Difficile
4342,193,2020,Management,10,3,QCU,49,48,41,7,1.02,85.42,41,8,84.12,Difficile,Facile,Difficile / Facile
193,194,2015,Management,10,4,QCU,98,71,48,23,1.38,67.61,48,50,48.84,Facile,Difficile,Facile / Difficile
1023,194,2016,Management,10,4,QCU,93,64,54,10,1.45,84.38,54,39,58.41,Difficile,Difficile,Difficile / Difficile
1853,194,2017,Management,10,4,QCU,106,59,46,13,1.8,77.97,46,60,43.07,Difficile,Difficile,Difficile / Difficile
2683,194,2018,Management,10,4,QCU,117,67,53,14,1.75,79.1,53,64,45.31,Difficile,Difficile,Difficile / Difficile
3513,194,2019,Management,10,4,QCU,124,111,33,78,1.12,29.73,33,91,26.41,Difficile,Difficile,Difficile / Difficile
4343,194,2020,Management,10,4,QCU,120,88,69,19,1.36,78.41,69,51,57.61,Difficile,Difficile,Difficile / Difficile
194,195,2015,Management,10,5,QROC,36,25,24,1,1.44,96.0,24,12,66.73,Facile,Adapte,Facile / Adapte
1024,195,2016,Management,10,5,QROC,40,30,27,3,1.33,90.0,27,13,67.02,Adapte,Adapte,Adapte / Adapte
1854,195,2017,Management,10,5,QROC,36,27,26,1,1.33,96.3,26,10,73.51,Adapte,Adapte,Adapte / Adapte
2684,195,2018,Management,10,5,QROC,40,38,25,13,1.05,65.79,25,15,63.59,Adapte,Adapte,Adapte / Adapte
3514,195,2019,Management,10,5,QROC,47,38,35,3,1.24,92.11,35,12,73.47,Adapte,Adapte,Adapte / Adapte
4344,195,2020,Management,10,5,QROC,41,37,29,8,1.11,78.38,29,12,71.17,Adapte,Adapte,Adapte / Adapte
195,196,2015,Management,11,1,QCU,16,13,13,0,1.23,100.0,13,3,81.32,Facile,Facile,Facile / Facile
1025,196,2016,Management,11,1,QCU,15,13,9,4,1.15,69.23,9,6,56.88,Difficile,Difficile,Difficile / Difficile
1855,196,2017,Management,11,1,QCU,18,18,15,3,1.0,83.33,15,3,84.02,Difficile,Facile,Difficile / Facile
2685,196,2018,Management,11,1,QCU,18,17,16,1,1.06,94.12,16,2,87.75,Difficile,Trop Facile,Difficile / Trop Facile
3515,196,2019,Management,11,1,QCU,18,11,10,1,1.64,90.91,10,8,57.24,Difficile,Difficile,Difficile / Difficile
4345,196,2020,Management,11,1,QCU,14,7,4,3,2.0,57.14,4,10,25.31,Difficile,Difficile,Difficile / Difficile
196,197,2015,Management,11,2,QCU,6,2,1,1,3.0,50.0,1,5,9.54,Trop Difficile,Trop Difficile,Trop Difficile / Trop Difficile
1026,197,2016,Management,11,2,QCU,6,4,2,2,1.5,50.0,2,4,27.31,Difficile,Difficile,Difficile / Difficile
1856,197,2017,Management,11,2,QCU,7,7,6,1,1.0,85.71,6,1,87.59,Difficile,Trop Facile,Difficile / Trop Facile
2686,197,2018,Management,11,2,QCU,8,6,4,2,1.33,66.67,4,4,50.14,Difficile,Difficile,Difficile / Difficile
3516,197,2019,Management,11,2,QCU,8,3,2,1,2.67,66.67,2,6,30.92,Difficile,Difficile,Difficile / Difficile
4346,197,2020,Management,11,2,QCU,6,5,2,3,1.2,40.0,2,4,28.87,Difficile,Difficile,Difficile / Difficile
197,198,2015,Management,11,3,QROC,9,7,3,4,1.29,42.86,3,6,33.87,Difficile,Difficile,Difficile / Difficile
1027,198,2016,Management,11,3,QROC,7,5,3,2,1.4,60.0,3,4,37.54,Difficile,Difficile,Difficile / Difficile
1857,198,2017,Management,11,3,QROC,7,5,2,3,1.4,40.0,2,5,25.77,Difficile,Difficile,Difficile / Difficile
2687,198,2018,Management,11,3,QROC,8,7,4,3,1.14,57.14,4,4,56.17,Difficile,Difficile,Difficile / Difficile
3517,198,2019,Management,11,3,QROC,6,3,0,3,2.0,0.0,0,6,3.81,Difficile,Trop Difficile,Difficile / Trop Difficile
4347,198,2020,Management,11,3,QROC,6,4,4,0,1.5,100.0,4,2,68.24,Difficile,Adapte,Difficile / Adapte
198,199,2015,Management,11,4,QCM,27,21,11,10,1.29,52.38,11,16,38.9,Trop Facile,Difficile,Trop Facile / Difficile
